item,item_en,2025,2024,2023,2022
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,1916.88,2111.47,1994.99,2291.83
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),18626.31,17859.21,18368.05,17510.57
Chỉ số giá thị trường trên thu nhập (P/E),P/E,7.3,8.38,6.99,5.98
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,0.75,0.99,0.76,0.78
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,0.6,1.02,0.79,0.87
Tỷ suất cổ tức,Dividend yield,0.07,0.05,0.07,0.07
Beta,Beta,0.62,0.79,1.67,1.84
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,5.55,7.99,6.78,3.06
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,0.0,0.0,0.0,0.0
Tỷ suất lợi nhuận gộp biên,Gross profit margin,12.14,18.83,14.73,6.83
Tỷ lệ lãi EBIT,EBIT margin,12.59,17.28,16.01,19.65
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,27.43,34.86,30.36,33.11
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,8.27,11.54,11.32,14.51
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,10.51,11.56,11.12,13.55
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),11.49,12.75,12.52,14.95
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,6.28,7.02,7.13,8.88
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0,0.0,0.0
Tăng trưởng  doanh thu thuần,Net revenue,34.01,8.02,11.53,19.73
Tăng trưởng  lợi nhuận gộp,Gross profit,-13.61,38.08,140.63,-60.68
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,-6.63,14.02,-15.02,14.74
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,-4.02,10.11,-12.95,11.98
Tăng trưởng tổng tài sản,Total assets,-1.25,17.4,5.82,11.49
Tăng trưởng nợ dài hạn,Long-term liabilities,-2.02,41.9,57.44,-13.85
Tăng trưởng nợ phải trả,Liabilities,-8.94,35.81,7.48,19.97
Tăng trưởng vốn chủ sở hữu,Owner's equity,4.3,6.95,4.9,7.29
Tăng trưởng vốn điều lệ,Charter capital,0.0,10.0,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,1.05,0.48,0.24,1.31
Tỷ số thanh toán nhanh,Quick ratio,3.38,2.24,2.68,2.47
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",2.76,1.72,2.17,1.64
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,3.42,2.27,2.71,2.48
Khả năng thanh toán lãi vay,Interest coverage,5.79,7.41,8.65,18.45
