item,item_en,2025,2024,2023
I. Lưu chuyển tiền từ hoạt động kinh doanh, I. CASH FLOWS FROM OPERATING ACTIVITIES ,,,
1. Lợi nhuận trước thuế,1. Profit before tax,190644364.0,232627055.0,157227555.0
2. Điều chỉnh cho các khoản, 2. Adjustments for: ,,,
 Khấu hao TSCĐ và BĐSĐT,Depreciation of fixed assets and properties investment,5453420.0,9982189.0,11142296.0
Các khoản dự phòng,(Reversal of provisions)/provisions,5121973.0,,-15487935.0
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",Foreign exchange (gain)/loss from revaluation of monetary items denominated in foreign currencies,,,
"Lãi, lỗ từ hoạt động đầu tư",Loss/(profit) from investment activities,-3174761.0,-749096.0,-538710.0
Chi phí lãi vay,Interest expense,22032471.0,36168643.0,35340696.0
"Lãi, lỗ từ thanh lý TSCĐ",Loss/(profits) from disposal of fixed asset,,,
Thu nhập lãi vay và cổ tức,Interest income and dividends,,,
Phân bổ lợi thế thương mại,Allocation of goodwill,,,
Điều chỉnh cho các khoản khác,Adjustments for,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Operating profit before changes in  working capital,220077467.0,278028790.0,187683902.0
"Tăng, giảm các khoản phải thu",(Increase)/decrease in receivables,-214969230.0,-122916615.0,249851760.0
"Tăng, giảm hàng tồn kho",(Increase)/decrease in inventories,-188034586.0,-172211710.0,182049783.0
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","Increase/(decrease) in payables (other than interest, corporate income tax)",370999836.0,-253069038.0,-322496923.0
"Tăng, giảm chi phí trả trước",(Increase)/decrease in prepaid expenses,-42153022.0,-18825413.0,3718375.0
"Tăng, giảm chứng khoán kinh doanh",Changes in available for sale securities,,,
Tiền lãi vay đã trả,Interest paid,-25289565.0,-27074624.0,-34336723.0
Thuế thu nhập doanh nghiệp đã nộp,Corporate income tax paid,-40505380.0,-53699451.0,-31490572.0
Tiền thu khác từ hoạt động kinh doanh,Other receipts from operating activities,,,
Tiền chi khác cho hoạt động kinh doanh,Other payments for operating activities,-414050.0,-218100.0,-1469642.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Net cash flows from operating activities,79711470.0,-369986161.0,233509960.0
II. Lưu chuyển tiền từ hoạt động đầu tư, II. CASH FLOWS FROM INVESTING ACTIVITIES ,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","1. Payment for fixed assets, constructions and other long-term assets",-986839.0,-518235.0,-1415198.0
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",2. Receipts from disposal of fixed assets and other long-term assets,,,154209.0
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","3. Loans, purchases of other entities' debt instruments ",-93890000.0,-2000000.0,-150000.0
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","4. Receipts from loan repayments, sale of other entities' debt instruments ",90890000.0,150000.0,
5. Tiền chi đầu tư góp vốn vào đơn vị khác,5. Payments for investment in other entities,,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,6. Collections on investment in other entities,,136785126.0,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","7. Dividends, interest and profit received",3485683.0,218177.0,733084.0
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,8. Increase/(Decrease) in term deposit,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,9. Purchases of minority shares of subsidiaries,,,
10. Tiền thu khác từ hoạt động đầu tư,10. Other receipts from investing activities,,,
11. Tiền chi khác cho hoạt động đầu tư,11. Other payments for investing activities,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,Net cash flows from investing activities,-501157.0,134635068.0,-677905.0
III. Lưu chuyển tiền từ hoạt động tài chính, III. CASH FLOWS FROM FINANCING ACTIVITIES ,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",1. Receipts from equity issue and owner's capital contribution,200000000.0,,52540000.0
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",2. Payment for share repurchases ,,,
3. Tiền thu từ đi vay,3. Proceeds from borrowings,2047048420.0,984057908.0,195889569.0
4. Tiền trả nợ gốc vay, 4. Principal repayments  ,-2007804181.0,-696564986.0,-499133880.0
5. Tiền trả nợ gốc thuê tài chính,5. Repayment of financial leases,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu ","6. Dividends paid, profits distributed to owners",-210586995.0,,-46520195.0
7. Tiền thu khác từ hoạt động tài chính,7. Other receipts from financing activities,,,
8. Tiền chi khác cho hoạt động tài chính,8. Other payments for financing activities,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,Net cash flows from financing activities,28657243.0,287492922.0,-297224507.0
Lưu chuyển tiền thuần trong kỳ,Net cash flows during the period ,107867556.0,52141828.0,-64392451.0
Tiền và tương đương tiền đầu kỳ,Cash and cash equivalents at beginning of the period,68128731.0,15986903.0,80379354.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Exchange difference due to re-valuation of ending balances,,,
Tiền và tương đương tiền cuối kỳ,Cash and cash equivalents at end of the period,175996287.0,68128731.0,15986903.0
