item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,319720152.0,258160310.0,211328836.0,228636391.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,174268968.0,108718260.0,89368910.0,58493502.0
1. Tiền,1. Cash,88268968.0,9718260.0,9186965.0,5493502.0
2. Các khoản tương đương tiền,2. Cash equivalents,86000000.0,99000000.0,80181945.0,53000000.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,25595928.0,83537762.0,61537762.0,111487574.0
1. Chứng khoán kinh doanh,1. Available for sale securities,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,25595928.0,83537762.0,61537762.0,111487574.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,119309014.0,65033673.0,59513494.0,57652286.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,118095090.0,60555997.0,53777182.0,50988881.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,375000.0,3485714.0,3539581.0,3524150.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,,,,
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,838924.0,991962.0,2196730.0,3139255.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),,,,
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,245572.0,315984.0,389599.0,115629.0
1. Hàng tồn kho,1. Inventories,245572.0,315984.0,389599.0,115629.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,,,,
V. Tài sản ngắn hạn khác,V. Other short-term assets,300670.0,554630.0,519070.0,887399.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,300670.0,554630.0,519070.0,887399.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,,,,
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,,,,
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,727639987.0,733666634.0,744288635.0,756111397.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,,,,
1. Phải thu dài hạn của khách hàng,1. Long-term trade receivables,,,,
2. Trả trước cho người bán dài hạn,2. Long-term prepayments to suppliers  ,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,3. Capital at inter-company,,,,
4.  Phải thu nội bộ dài hạn ,4. Long-term inter-company receivables,,,,
5. Phải thu về cho vay dài hạn,5. Long-term loan receivables,,,,
6. Phải thu dài hạn khác,6. Other long-term receivables,,,,
7. Dự phòng phải thu dài hạn khó đòi (*),7. Provision for long-term doubtful debts,,,,
II. Tài sản cố định,II. Fixed assets,695773208.0,706602922.0,717579484.0,729700642.0
1. Tài sản cố định hữu hình,1. Tangible fixed assets,691180057.0,702009770.0,714179484.0,726300642.0
      - Nguyên giá,    - Cost,1398033245.0,1396693245.0,1396693245.0,1396647245.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-706853188.0,-694683475.0,-682513761.0,-670346603.0
2. Tài sản cố định thuê tài chính,2. Financial leased fixed assets,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
3. Tài sản cố định vô hình,3. Intangible fixed assets,4593151.0,4593151.0,3400000.0,3400000.0
      - Nguyên giá,    - Cost,4593151.0,4593151.0,3400000.0,3400000.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
III. Bất động sản đầu tư,III. Investment properties,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
