item,item_en,2025,2024,2023,2022
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,2913753658.0,2203990476.0,2283692109.0,2852384185.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,501354768.0,547305862.0,480447927.0,316341745.0
1. Tiền,1. Cash,406897206.0,487883935.0,473847927.0,315491745.0
2. Các khoản tương đương tiền,2. Cash equivalents,94457561.0,59421927.0,6600000.0,850000.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,115642558.0,29603718.0,39521318.0,169599116.0
1. Chứng khoán kinh doanh,1. Available for sale securities,29612081.0,29612081.0,29612081.0,208481489.0
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),-1969523.0,-3008363.0,-1591763.0,-52882373.0
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,88000000.0,3000000.0,11501000.0,14000000.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,1638231759.0,1075587901.0,1223966502.0,1804836081.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,533283392.0,401975303.0,386156951.0,453956534.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,259909502.0,108033034.0,7904122.0,418544595.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,89350000.0,18841300.0,91061300.0,65974014.0
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,759249700.0,548065049.0,739960607.0,867379671.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-3560834.0,-1326786.0,-1168790.0,-1073045.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,52312.0,54312.0
IV. Hàng tồn kho,IV. Inventories,593133790.0,502693309.0,497476083.0,540950398.0
1. Hàng tồn kho,1. Inventories,593133790.0,502693309.0,497476083.0,540950398.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,,,,
