item,item_en,2025,2024,2023,2022
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,189598931.0,90315475.0,196828572.0,243097062.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,71626423.0,14396757.0,16653946.0,80679710.0
1. Tiền,1. Cash,1626423.0,9396757.0,11653946.0,25679710.0
2. Các khoản tương đương tiền,2. Cash equivalents,70000000.0,5000000.0,5000000.0,55000000.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,,,,
1. Chứng khoán kinh doanh,1. Available for sale securities,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,,,,
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,114547987.0,72369140.0,176457659.0,159155425.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,113537014.0,71541220.0,171732443.0,156061823.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,428132.0,59085.0,2881614.0,891747.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,,,,
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,582840.0,768834.0,1843602.0,2201856.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),,,,
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,1766701.0,1449809.0,1756007.0,2281625.0
1. Hàng tồn kho,1. Inventories,1766701.0,1449809.0,1756007.0,2281625.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,,,,
V. Tài sản ngắn hạn khác,V. Other short-term assets,1657820.0,2099769.0,1960961.0,980302.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,95950.0,553799.0,1009174.0,18661.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,859550.0,810302.0,951787.0,961642.0
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,702321.0,735669.0,,
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,972769185.0,1007395726.0,1036227532.0,1083132130.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,25000.0,20000.0,2024000.0,2024000.0
1. Phải thu dài hạn của khách hàng,1. Long-term trade receivables,,,,
2. Trả trước cho người bán dài hạn,2. Long-term prepayments to suppliers  ,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,3. Capital at inter-company,,,,
4.  Phải thu nội bộ dài hạn ,4. Long-term inter-company receivables,,,,
5. Phải thu về cho vay dài hạn,5. Long-term loan receivables,,,,
6. Phải thu dài hạn khác,6. Other long-term receivables,25000.0,20000.0,2024000.0,2024000.0
7. Dự phòng phải thu dài hạn khó đòi (*),7. Provision for long-term doubtful debts,,,,
II. Tài sản cố định,II. Fixed assets,925490283.0,981519913.0,1014820602.0,1068643400.0
1. Tài sản cố định hữu hình,1. Tangible fixed assets,920110589.0,976031438.0,1009223346.0,1062990696.0
      - Nguyên giá,    - Cost,1695178786.0,1694448093.0,1687388609.0,1690867289.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-775068197.0,-718416655.0,-678165263.0,-627876593.0
2. Tài sản cố định thuê tài chính,2. Financial leased fixed assets,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
3. Tài sản cố định vô hình,3. Intangible fixed assets,5379694.0,5488475.0,5597256.0,5652704.0
      - Nguyên giá,    - Cost,6021967.0,6021967.0,6021967.0,5971967.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-642274.0,-533492.0,-424711.0,-319264.0
III. Bất động sản đầu tư,III. Investment properties,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
IV. Tài sản dở dang dài hạn,IV. Long-term assets in progress,2829138.0,77432.0,7382132.0,3475285.0
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",1. Long-term production in progress,,,,
2. Chi phí xây dựng cơ bản dở dang,2. Construction in progress,2829138.0,77432.0,7382132.0,3475285.0
V. Đầu tư tài chính dài hạn,V. Long-term financial investments,,,,
1. Đầu tư vào công ty con,1. Investments in subsidiaries,,,,
2. Đầu tư vào công ty liên kết. liên doanh,"2. Investments in associates, joint-ventures",,,,
3. Đầu tư góp vốn vào đơn vị khác,3. Investments in other entities,,,,
4. Dự phòng đầu tư tài chính dài hạn (*),4. Provision for diminution in value of long-term investments,,,,
