item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,2813.78,2428.64,2147.31,2030.15
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),17406.0,16282.0,15595.0,16690.0
Chỉ số giá thị trường trên thu nhập (P/E),P/E,10.25,11.94,13.88,14.78
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,1.66,1.78,1.91,1.8
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,11.29,17.23,30.74,22.23
Tỷ suất cổ tức,Dividend yield,0.05,0.05,0.05,0.07
Beta,Beta,0.05,0.09,0.12,0.1
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,19.85,33.08,57.92,39.05
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,0.0,0.0,0.0,0.0
Tỷ suất lợi nhuận gộp biên,Gross profit margin,61.48,60.04,59.11,62.26
Tỷ lệ lãi EBIT,EBIT margin,55.93,52.58,54.38,56.81
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,69.34,67.92,69.34,71.06
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,44.0,40.78,41.86,44.3
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,6.67,4.31,2.51,3.64
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),8.21,5.35,3.14,4.48
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,5.98,3.83,2.25,3.25
ROE bình quân 4 quý gần nhất,ROE Trailling,17.06,15.0,13.44,12.82
ROA bình quân 4 quý gần nhất,ROA Trailling,15.27,13.38,11.88,11.14
Tăng trưởng  doanh thu thuần,Net revenue,53.66,72.05,32.35,35.85
Tăng trưởng  lợi nhuận gộp,Gross profit,59.81,80.49,33.31,37.45
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,67.38,90.67,52.18,46.69
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,52.13,69.48,40.58,34.26
Tăng trưởng tổng tài sản,Total assets,5.89,1.6,-3.21,-6.47
Tăng trưởng nợ dài hạn,Long-term liabilities,-22.22,-52.86,-51.23,-49.88
Tăng trưởng nợ phải trả,Liabilities,-8.05,-21.08,-37.69,-31.35
Tăng trưởng vốn chủ sở hữu,Owner's equity,7.58,5.45,3.73,-2.35
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.93,0.58,0.34,0.98
Tỷ số thanh toán nhanh,Quick ratio,2.44,1.58,0.96,1.7
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.93,0.58,0.34,0.98
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,2.47,1.6,0.98,1.72
Khả năng thanh toán lãi vay,Interest coverage,55.6,33.4,20.13,29.12
