item,item_en,2025,2024,2023,2022
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,1214945629.0,800166460.0,371274768.0,898962649.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,123724.0,1049691.0,72741.0,5707478.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,1214821905.0,799116769.0,371202027.0,893255171.0
4. Giá vốn hàng bán ,4. Cost of goods sold,810220583.0,848470332.0,264014902.0,650224201.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,404601322.0,-49353564.0,107187125.0,243030970.0
6.Doanh thu hoạt động tài chính ,6. Financial income,368145724.0,477829554.0,343760651.0,405555025.0
7. Chi phí tài chính ,7. Financial expenses,335759985.0,311900965.0,305098363.0,398540956.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,273007109.0,303551771.0,304520436.0,310571741.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,-50035109.0,-10326940.0,-976609.0,14244589.0
9. Chi phí bán hàng ,9. Selling expenses,13924044.0,18754749.0,22205897.0,78899943.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,226123955.0,57517781.0,108687019.0,105723725.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,146903952.0,29975556.0,13979887.0,79665959.0
12. Thu nhập khác ,12. Other income,26199863.0,16742087.0,26917082.0,3630147.0
13. Chi phí khác ,13.Other expenses,76161150.0,13060494.0,24535221.0,4375325.0
14. Lợi nhuận khác,14. Other profit ,-49961288.0,3681593.0,2381862.0,-745177.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,96942665.0,33657149.0,16361749.0,78920782.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,26354653.0,25867195.0,10434456.0,29435582.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),3205747.0,3542072.0,-9495088.0,-6597630.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,67382264.0,4247882.0,15422380.0,56082830.0
Lợi ích của cổ đông thiểu số,Minority's interest,-8947841.0,1311149.0,6703683.0,5917568.0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,76330105.0,2936733.0,8718698.0,50165262.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),,7.0,22.0,127.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,,0.0,0.0,0.0
