item,item_en,2025,2024,2023,2022
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,6210.13,8078.68,6784.0,4115.39
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),40979.57,35676.34,30188.24,25702.81
Chỉ số giá thị trường trên thu nhập (P/E),P/E,9.55,10.4,10.69,15.24
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,1.45,2.35,2.4,2.44
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,1.34,1.86,1.67,2.11
Tỷ suất cổ tức,Dividend yield,0.04,0.03,0.03,0.04
Beta,Beta,0.57,0.39,0.46,0.41
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,5.92,6.44,7.15,11.46
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,0.0,0.0,0.0,0.0
Tỷ suất lợi nhuận gộp biên,Gross profit margin,28.81,32.7,31.28,27.22
Tỷ lệ lãi EBIT,EBIT margin,19.85,24.39,20.27,17.32
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,24.65,30.05,26.29,28.19
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,15.66,19.49,16.57,13.65
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,16.21,24.53,24.28,16.41
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),22.35,32.89,30.89,20.13
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,12.92,19.5,19.23,13.7
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0,0.0,0.0
Tăng trưởng  doanh thu thuần,Net revenue,-2.47,4.3,46.27,103.79
Tăng trưởng  lợi nhuận gộp,Gross profit,-14.07,9.02,68.1,153.54
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,-20.63,25.51,71.2,194.47
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,-23.15,19.08,64.84,157.45
Tăng trưởng tổng tài sản,Total assets,16.33,15.54,19.75,14.7
Tăng trưởng nợ dài hạn,Long-term liabilities,52.13,28.0,8.42,36.78
Tăng trưởng nợ phải trả,Liabilities,22.78,5.9,29.0,81.43
Tăng trưởng vốn chủ sở hữu,Owner's equity,14.74,18.18,17.45,5.07
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.77,1.61,1.25,0.64
Tỷ số thanh toán nhanh,Quick ratio,4.69,4.59,4.06,4.21
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",3.33,3.83,2.85,2.57
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,4.73,4.63,4.1,4.25
Khả năng thanh toán lãi vay,Interest coverage,0.0,0.0,0.0,0.0
