item,item_en,2025,2024,2023,2022
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,2047710696.0,1634192021.0,1162444989.0,1695327819.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,553443052.0,503960924.0,390623587.0,202260132.0
1. Tiền,1. Cash,188388860.0,245199020.0,142700296.0,164420132.0
2. Các khoản tương đương tiền,2. Cash equivalents,365054192.0,258761905.0,247923291.0,37840000.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,736718600.0,356247988.0,251530400.0,853294683.0
1. Chứng khoán kinh doanh,1. Available for sale securities,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,736718600.0,356247988.0,251530400.0,853294683.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,661607694.0,586404374.0,319700627.0,437169222.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,200319694.0,221204807.0,207285139.0,520416450.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,23152007.0,14666399.0,10646575.0,9737962.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,234693000.0,202008000.0,63812000.0,
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,228725111.0,203849063.0,83045210.0,79571629.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-25282118.0,-55323895.0,-45088297.0,-172556819.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,22312782.0,16240472.0,13733290.0,20171819.0
1. Hàng tồn kho,1. Inventories,22312782.0,16240472.0,13733290.0,20171819.0
