item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,357818372.0,330146440.0,275030864.0,263037763.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,357818372.0,330146440.0,275030864.0,263037763.0
4. Giá vốn hàng bán ,4. Cost of goods sold,270484881.0,196948722.0,202297093.0,171662689.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,87333491.0,133197717.0,72733771.0,91375074.0
6.Doanh thu hoạt động tài chính ,6. Financial income,54685841.0,57418694.0,37600484.0,18793967.0
7. Chi phí tài chính ,7. Financial expenses,15792496.0,9683060.0,7716668.0,9048351.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,9889077.0,9537968.0,7692679.0,233748.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,60408044.0,67877970.0,63008540.0,60016325.0
9. Chi phí bán hàng ,9. Selling expenses,,,,
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,39792870.0,55738480.0,47243590.0,39917624.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,146842009.0,193072841.0,118382537.0,121219391.0
12. Thu nhập khác ,12. Other income,2557847.0,1618830.0,1619075.0,2482706.0
13. Chi phí khác ,13.Other expenses,156432004.0,115735.0,103196.0,2003054.0
14. Lợi nhuận khác,14. Other profit ,-153874157.0,1503095.0,1515880.0,479652.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,-7032147.0,194575936.0,119898417.0,121699043.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,26697317.0,41099440.0,27455993.0,21023663.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),-14295602.0,-17998631.0,-14357141.0,-8931637.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,-19433863.0,171475127.0,106799564.0,109607017.0
Lợi ích của cổ đông thiểu số,Minority's interest,3414914.0,3260761.0,-416232.0,-981777.0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,-22848777.0,168214365.0,107215796.0,110588794.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),-106.0,777.71,495.69,511.29
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,0.0,1.0,0.0,1.0
