item,item_en,2025,2024,2023,2022
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,1967856419.0,1462916085.0,1524808804.0,1508236473.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,111254542.0,31619566.0,47599179.0,334026035.0
1. Tiền,1. Cash,111254542.0,23937298.0,35716911.0,104286615.0
2. Các khoản tương đương tiền,2. Cash equivalents,,7682268.0,11882268.0,229739420.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,227933000.0,27138000.0,7152950.0,17175007.0
1. Chứng khoán kinh doanh,1. Available for sale securities,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,227933000.0,27138000.0,7152950.0,17175007.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,1082206477.0,979843538.0,934819798.0,573030065.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,197396525.0,164342349.0,141728488.0,133503825.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,266728198.0,278822574.0,386469628.0,137586023.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,121640267.0,121249038.0,84913038.0,179808521.0
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,508056382.0,427044472.0,322517703.0,145110014.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-11614897.0,-11614897.0,-809059.0,-22978319.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,543524235.0,421200194.0,532577492.0,580480876.0
1. Hàng tồn kho,1. Inventories,543595571.0,421271530.0,532648829.0,580552213.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,-71336.0,-71336.0,-71336.0,-71336.0
V. Tài sản ngắn hạn khác,V. Other short-term assets,2938165.0,3114788.0,2659384.0,3524490.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,384469.0,384506.0,282945.0,410448.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,2471553.0,2693092.0,2361976.0,3099580.0
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,82143.0,37189.0,14462.0,14462.0
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,787737886.0,789379572.0,523036937.0,490848225.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,452520685.0,454098658.0,191776667.0,262653080.0
1. Phải thu dài hạn của khách hàng,1. Long-term trade receivables,,,,
2. Trả trước cho người bán dài hạn,2. Long-term prepayments to suppliers  ,399753991.0,399853991.0,52000000.0,17300000.0
3. Vốn kinh doanh ở các đơn vị trực thuộc,3. Capital at inter-company,,,,
4.  Phải thu nội bộ dài hạn ,4. Long-term inter-company receivables,,,,
5. Phải thu về cho vay dài hạn,5. Long-term loan receivables,10587083.0,12091667.0,1691667.0,
6. Phải thu dài hạn khác,6. Other long-term receivables,49679611.0,49653000.0,145585000.0,249853080.0
7. Dự phòng phải thu dài hạn khó đòi (*),7. Provision for long-term doubtful debts,-7500000.0,-7500000.0,-7500000.0,-4500000.0
II. Tài sản cố định,II. Fixed assets,8337645.0,9765568.0,11678058.0,11567699.0
1. Tài sản cố định hữu hình,1. Tangible fixed assets,6296658.0,7707081.0,9603529.0,9475671.0
      - Nguyên giá,    - Cost,38541690.0,38410592.0,38664519.0,36707709.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-32245032.0,-30703511.0,-29060989.0,-27232039.0
2. Tài sản cố định thuê tài chính,2. Financial leased fixed assets,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
3. Tài sản cố định vô hình,3. Intangible fixed assets,2040987.0,2058487.0,2074529.0,2092029.0
      - Nguyên giá,    - Cost,2159624.0,2159624.0,2159624.0,2159624.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-118637.0,-101137.0,-85095.0,-67595.0
III. Bất động sản đầu tư,III. Investment properties,106643715.0,118225811.0,115200648.0,117987762.0
