item,item_en,2025,2024,2023,2022
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,220633789.0,151466345.0,99164952.0,655760353.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,2002786.0,,,1322823.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,218631003.0,151466345.0,99164952.0,654437530.0
4. Giá vốn hàng bán ,4. Cost of goods sold,75464073.0,76842818.0,51362152.0,318533957.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,143166930.0,74623527.0,47802800.0,335903573.0
6.Doanh thu hoạt động tài chính ,6. Financial income,58426738.0,11948558.0,101128223.0,64205376.0
7. Chi phí tài chính ,7. Financial expenses,36162397.0,35850988.0,30141329.0,26909116.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,26663339.0,35790960.0,30130707.0,26141594.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,794332.0,-250641.0,-787365.0,-1095413.0
9. Chi phí bán hàng ,9. Selling expenses,5278.0,118241.0,325833.0,417680.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,46574864.0,54603690.0,35888275.0,108288248.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,119645460.0,-4251475.0,81788220.0,263398491.0
12. Thu nhập khác ,12. Other income,4160151.0,89099401.0,51806854.0,1437687.0
13. Chi phí khác ,13.Other expenses,6884420.0,6278606.0,5277796.0,2033338.0
14. Lợi nhuận khác,14. Other profit ,-2724268.0,82820795.0,46529058.0,-595650.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,116921191.0,78569321.0,128317279.0,262802841.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,21526428.0,18949821.0,25340033.0,47516292.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),-503325.0,-493225.0,-96805.0,-689618.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,95898088.0,60112725.0,103074051.0,215976167.0
Lợi ích của cổ đông thiểu số,Minority's interest,1474838.0,884651.0,1057393.0,596773.0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,94423250.0,59228074.0,102016658.0,215379394.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),1421.0,987.0,1700.0,3590.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,1.0,1.0,2.0,4.0
