item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,1553.52,1607.9,1151.59,1129.4
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),14012.66,13457.79,12504.48,14311.12
Chỉ số giá thị trường trên thu nhập (P/E),P/E,13.26,15.98,11.2,12.75
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,1.47,1.91,1.03,1.01
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,11.61,28.17,16.63,20.85
Tỷ suất cổ tức,Dividend yield,0.05,0.04,0.08,0.0
Beta,Beta,1.96,1.91,1.68,1.89
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,0.0,0.0,0.0,0.0
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,0.0,0.0,0.0,0.0
Tỷ suất lợi nhuận gộp biên,Gross profit margin,30.45,85.28,77.52,68.0
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,13.88,58.56,55.16,46.79
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,1.8,4.12,3.35,2.3
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,1.02,2.54,2.35,1.79
ROE bình quân 4 quý gần nhất,ROE Trailling,11.33,11.77,8.41,8.19
ROA bình quân 4 quý gần nhất,ROA Trailling,7.09,8.11,6.36,6.74
Tăng trưởng  doanh thu thuần,Net revenue,189.5,195.51,15.76,-0.54
Tăng trưởng  lợi nhuận gộp,Gross profit,39.4,516.39,14.15,-22.14
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,-3.69,697.36,6.46,-26.63
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,-4.73,592.57,8.07,-26.26
Tăng trưởng tổng tài sản,Total assets,64.18,56.93,41.31,27.95
Tăng trưởng nợ dài hạn,Long-term liabilities,114.23,81.82,27.17,2.2
Tăng trưởng nợ phải trả,Liabilities,269.63,334.31,381.1,186.35
Tăng trưởng vốn chủ sở hữu,Owner's equity,12.46,9.21,1.82,9.16
Tăng trưởng vốn điều lệ,Charter capital,10.61,10.0,10.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.09,0.08,0.13,0.19
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.09,0.08,0.13,0.19
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,2.24,2.49,2.88,4.33
