item,item_en,2025,2024,2023,2022
I. Lưu chuyển tiền từ hoạt động kinh doanh, I. CASH FLOWS FROM OPERATING ACTIVITIES ,,,,
1. Lợi nhuận trước thuế,1. Profit before tax,14302649.0,556084213.0,-36144313.0,-90806553.0
2. Điều chỉnh cho các khoản, 2. Adjustments for: ,,,,
 Khấu hao TSCĐ và BĐSĐT,Depreciation of fixed assets and properties investment,56376506.0,95260382.0,92281215.0,94594027.0
Các khoản dự phòng,(Reversal of provisions)/provisions,-886617.0,-38682371.0,6162625.0,57032571.0
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",Foreign exchange (gain)/loss from revaluation of monetary items denominated in foreign currencies,,,,
"Lãi, lỗ từ hoạt động đầu tư",Loss/(profit) from investment activities,-101922427.0,-660713818.0,-100161004.0,-104213933.0
Chi phí lãi vay,Interest expense,64320283.0,65665623.0,81585195.0,82175322.0
"Lãi, lỗ từ thanh lý TSCĐ",Loss/(profits) from disposal of fixed asset,,,,
Thu nhập lãi vay và cổ tức,Interest income and dividends,,,,
Phân bổ lợi thế thương mại,Allocation of goodwill,,,,
Điều chỉnh cho các khoản khác,Adjustments for,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Operating profit before changes in  working capital,32190394.0,17614028.0,43723719.0,38781434.0
"Tăng, giảm các khoản phải thu",(Increase)/decrease in receivables,81011730.0,5067217.0,-10514883.0,-743460.0
"Tăng, giảm hàng tồn kho",(Increase)/decrease in inventories,-6399328.0,3276175.0,2180725.0,8023889.0
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","Increase/(decrease) in payables (other than interest, corporate income tax)",110420708.0,164363912.0,23097359.0,2950859.0
"Tăng, giảm chi phí trả trước",(Increase)/decrease in prepaid expenses,-4563759.0,-6427495.0,1301937.0,3358461.0
"Tăng, giảm chứng khoán kinh doanh",Changes in available for sale securities,,,,
Tiền lãi vay đã trả,Interest paid,-39240517.0,-59186948.0,-114616734.0,-62124418.0
Thuế thu nhập doanh nghiệp đã nộp,Corporate income tax paid,-5273149.0,-2317658.0,-2181189.0,-1628829.0
Tiền thu khác từ hoạt động kinh doanh,Other receipts from operating activities,,,,
Tiền chi khác cho hoạt động kinh doanh,Other payments for operating activities,-910021.0,-544670.0,-1011149.0,-923484.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Net cash flows from operating activities,167236057.0,121844563.0,-58020215.0,-12305547.0
II. Lưu chuyển tiền từ hoạt động đầu tư, II. CASH FLOWS FROM INVESTING ACTIVITIES ,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","1. Payment for fixed assets, constructions and other long-term assets",-60847204.0,-21887247.0,-28820077.0,-23129137.0
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",2. Receipts from disposal of fixed assets and other long-term assets,562598.0,,648330.0,5010856.0
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","3. Loans, purchases of other entities' debt instruments ",-382730000.0,-539110000.0,-49170049.0,-14000000.0
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","4. Receipts from loan repayments, sale of other entities' debt instruments ",152500000.0,39640000.0,28765725.0,15891292.0
5. Tiền chi đầu tư góp vốn vào đơn vị khác,5. Payments for investment in other entities,-149430000.0,-9177765.0,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,6. Collections on investment in other entities,,766419371.0,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","7. Dividends, interest and profit received",71305783.0,90973032.0,101666626.0,34928152.0
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,8. Increase/(Decrease) in term deposit,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,9. Purchases of minority shares of subsidiaries,,,,
10. Tiền thu khác từ hoạt động đầu tư,10. Other receipts from investing activities,,,,
11. Tiền chi khác cho hoạt động đầu tư,11. Other payments for investing activities,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,Net cash flows from investing activities,-368638823.0,326857392.0,53090555.0,18701163.0
III. Lưu chuyển tiền từ hoạt động tài chính, III. CASH FLOWS FROM FINANCING ACTIVITIES ,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",1. Receipts from equity issue and owner's capital contribution,,,,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",2. Payment for share repurchases ,,,,
3. Tiền thu từ đi vay,3. Proceeds from borrowings,19448112.0,335746966.0,441596477.0,123090172.0
4. Tiền trả nợ gốc vay, 4. Principal repayments  ,-76367904.0,-495370720.0,-440885060.0,-151868686.0
5. Tiền trả nợ gốc thuê tài chính,5. Repayment of financial leases,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu ","6. Dividends paid, profits distributed to owners",-5510000.0,-2943279.0,-5509890.0,-1300000.0
7. Tiền thu khác từ hoạt động tài chính,7. Other receipts from financing activities,,,,
8. Tiền chi khác cho hoạt động tài chính,8. Other payments for financing activities,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,Net cash flows from financing activities,-62429792.0,-162567033.0,-4798473.0,-30078514.0
Lưu chuyển tiền thuần trong kỳ,Net cash flows during the period ,-263832559.0,286134921.0,-9728133.0,-23682898.0
Tiền và tương đương tiền đầu kỳ,Cash and cash equivalents at beginning of the period,294546349.0,8411428.0,18139561.0,41822459.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Exchange difference due to re-valuation of ending balances,,,,
Tiền và tương đương tiền cuối kỳ,Cash and cash equivalents at end of the period,30713790.0,294546349.0,8411428.0,18139561.0
