item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,132.35,10001.15,10024.94,9519.34
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),22925.0,22334.0,22460.0,22143.0
Chỉ số giá thị trường trên thu nhập (P/E),P/E,133.74,1.78,1.53,2.63
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,0.77,0.8,0.68,1.13
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,16.26,16.06,13.23,23.14
Tỷ suất cổ tức,Dividend yield,0.0,0.0,0.0,0.0
Beta,Beta,-0.32,-0.42,-0.25,0.13
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,34.85,158.8,9.04,-68.48
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,10.22,13.32,5.36,-423.55
Tỷ suất lợi nhuận gộp biên,Gross profit margin,2.66,3.33,7.09,5.33
Tỷ lệ lãi EBIT,EBIT margin,78.42,16.89,261.35,-46.31
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,109.83,53.02,294.59,-7.49
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,54.27,-6.99,42.89,-71.56
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,2.51,-0.43,2.05,-3.54
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),2.26,0.5,8.0,-1.34
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,1.26,-0.22,1.06,-1.82
ROE bình quân 4 quý gần nhất,ROE Trailling,0.63,48.01,53.3,56.75
ROA bình quân 4 quý gần nhất,ROA Trailling,0.3,23.03,24.65,24.86
Tăng trưởng  doanh thu thuần,Net revenue,7.96,7.37,6.76,9.47
Tăng trưởng  lợi nhuận gộp,Gross profit,10.57,-0.11,-8.82,-25.8
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,-94.19,0.0,5436.35,0.0
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,-94.55,0.0,0.0,0.0
Tăng trưởng tổng tài sản,Total assets,7.87,32.51,28.02,28.97
Tăng trưởng nợ dài hạn,Long-term liabilities,8.06,-13.32,-13.18,-10.6
Tăng trưởng nợ phải trả,Liabilities,17.19,15.22,7.37,10.71
Tăng trưởng vốn chủ sở hữu,Owner's equity,0.05,56.12,56.06,53.12
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.06,0.09,0.15,0.72
Tỷ số thanh toán nhanh,Quick ratio,2.14,2.3,2.97,2.92
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.06,0.09,0.15,0.73
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,2.18,2.34,3.02,2.96
Khả năng thanh toán lãi vay,Interest coverage,3.48,0.75,1.21,-1.98
