item,item_en,2025,2024,2023,2022
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,15761651222.0,11917346199.0,8707252621.0,8920057025.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,839596874.0,645596058.0,829296651.0,439730434.0
1. Tiền,1. Cash,273519857.0,216324302.0,191078344.0,134760126.0
2. Các khoản tương đương tiền,2. Cash equivalents,566077017.0,429271756.0,638218307.0,304970308.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,5070828269.0,5244379320.0,3138642665.0,3774007369.0
1. Chứng khoán kinh doanh,1. Available for sale securities,238378177.0,197028807.0,126491256.0,126495440.0
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),-45530979.0,-5276497.0,-281024.0,-1184190.0
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,4877981072.0,5052627010.0,3012432432.0,3648696119.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,8711165168.0,4853338850.0,3500366467.0,3708870010.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,447698577.0,391629267.0,375128988.0,248018306.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,118244468.0,50205143.0,103070404.0,82917303.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,4927860000.0,1610723831.0,1269641009.0,1800350000.0
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,3238644335.0,2822667661.0,1773459913.0,1594040879.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-21307694.0,-21912534.0,-20959330.0,-16481961.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,25482.0,25482.0,25482.0,25482.0
IV. Hàng tồn kho,IV. Inventories,266731167.0,322055000.0,468080707.0,434118583.0
1. Hàng tồn kho,1. Inventories,267681756.0,323506741.0,470957755.0,439057298.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,-950589.0,-1451740.0,-2877047.0,-4938715.0
V. Tài sản ngắn hạn khác,V. Other short-term assets,873329743.0,851976970.0,770866132.0,563330629.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,6278359.0,7925590.0,4482675.0,5165087.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,863801520.0,842404407.0,762016713.0,551460004.0
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,3249863.0,1646974.0,4366743.0,6705538.0
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,12984278256.0,13135534416.0,12353174669.0,10083364906.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,1317617233.0,1307037561.0,800393016.0,343016.0
1. Phải thu dài hạn của khách hàng,1. Long-term trade receivables,,,,
2. Trả trước cho người bán dài hạn,2. Long-term prepayments to suppliers  ,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,3. Capital at inter-company,,,,
