item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,1126442696.0,1242390923.0,1094815159.0,1046083255.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,210278364.0,245749522.0,209487824.0,231036185.0
1. Tiền,1. Cash,53278364.0,23749522.0,7487824.0,19036185.0
2. Các khoản tương đương tiền,2. Cash equivalents,157000000.0,222000000.0,202000000.0,212000000.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,130000000.0,40000000.0,40000000.0,15000000.0
1. Chứng khoán kinh doanh,1. Available for sale securities,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,130000000.0,40000000.0,40000000.0,15000000.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,782738395.0,953158834.0,840706888.0,795124656.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,743742118.0,870843937.0,773623599.0,758252570.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,2404914.0,2142436.0,2587215.0,8769791.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,29285666.0,29285666.0,34285666.0,39285666.0
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,55387507.0,98968605.0,83292217.0,46898438.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-48081810.0,-48081810.0,-53081810.0,-58081810.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,2612113.0,3167593.0,2532835.0,1896733.0
1. Hàng tồn kho,1. Inventories,2612113.0,3167593.0,2532835.0,1896733.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,,,,
V. Tài sản ngắn hạn khác,V. Other short-term assets,813823.0,314974.0,2087611.0,3025681.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,742181.0,256232.0,1928532.0,2755804.0
