item,item_en,2025,2024,2023,2022
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,2729.5,1365.08,960.06,3384.59
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),23247.77,20272.38,20086.01,20294.36
Chỉ số giá thị trường trên thu nhập (P/E),P/E,6.52,13.48,14.58,4.14
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,0.77,0.91,0.7,0.69
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,1.21,1.5,1.13,1.16
Tỷ suất cổ tức,Dividend yield,0.06,0.05,0.07,0.02
Beta,Beta,1.43,1.27,1.28,1.23
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,6.85,10.41,10.17,5.75
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,5.34,7.32,6.97,4.63
Tỷ suất lợi nhuận gộp biên,Gross profit margin,20.45,23.44,21.05,30.8
Tỷ lệ lãi EBIT,EBIT margin,32.12,27.28,25.72,52.27
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,41.17,38.81,37.52,64.99
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,22.84,15.47,9.23,33.46
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,12.54,6.76,4.76,18.46
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),15.04,11.08,10.19,19.78
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,5.46,2.73,1.86,6.33
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0,0.0,0.0
Tăng trưởng  doanh thu thuần,Net revenue,20.04,-0.93,2.86,-10.49
Tăng trưởng  lợi nhuận gộp,Gross profit,4.74,10.3,-29.7,17.01
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,73.97,42.8,-68.08,204.61
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,99.95,42.19,-71.63,320.82
Tăng trưởng tổng tài sản,Total assets,2.05,-2.06,-3.99,-3.14
Tăng trưởng nợ dài hạn,Long-term liabilities,-7.38,1.0,-18.04,-17.55
Tăng trưởng nợ phải trả,Liabilities,-6.71,-4.02,-5.85,-14.79
Tăng trưởng vốn chủ sở hữu,Owner's equity,14.68,0.93,-1.03,23.87
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.24,0.21,0.17,0.08
Tỷ số thanh toán nhanh,Quick ratio,1.2,1.08,0.97,0.97
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.56,0.44,0.36,0.35
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,1.41,1.28,1.17,1.23
Khả năng thanh toán lãi vay,Interest coverage,5.23,2.92,1.94,4.29
