item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,1614.43,2197.79,2986.4,2524.88
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),10054.0,10948.0,27860.0,26854.0
Chỉ số giá thị trường trên thu nhập (P/E),P/E,38.28,30.62,33.15,41.55
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,6.15,6.15,3.55,3.91
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,66.05,749.25,58.18,83.35
Tỷ suất cổ tức,Dividend yield,0.0,0.0,0.0,0.0
Beta,Beta,0.49,0.4,0.55,0.38
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,115.56,5297.08,91.79,144.24
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,115.56,3692.07,90.64,141.43
Tỷ suất lợi nhuận gộp biên,Gross profit margin,63.71,26.06,73.32,66.46
Tỷ lệ lãi EBIT,EBIT margin,58.47,14.72,67.06,60.13
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,60.67,22.31,68.05,61.64
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,43.9,11.59,53.52,47.05
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,3.91,0.09,3.32,2.22
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),2.79,0.07,2.27,1.52
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,1.54,0.04,1.31,0.86
ROE bình quân 4 quý gần nhất,ROE Trailling,9.53,9.53,11.31,9.85
ROA bình quân 4 quý gần nhất,ROA Trailling,3.73,3.73,4.32,3.68
Tăng trưởng  doanh thu thuần,Net revenue,0.0,-79.06,60.58,21.19
Tăng trưởng  lợi nhuận gộp,Gross profit,0.0,-90.05,77.7,41.63
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,0.0,-93.82,88.28,43.87
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,0.0,-93.88,103.09,52.55
Tăng trưởng tổng tài sản,Total assets,0.0,3.16,3.03,3.2
Tăng trưởng nợ dài hạn,Long-term liabilities,0.0,-17.35,9.75,33.06
Tăng trưởng nợ phải trả,Liabilities,0.0,-2.87,-2.5,-1.02
Tăng trưởng vốn chủ sở hữu,Owner's equity,0.0,13.53,12.67,10.55
Tăng trưởng vốn điều lệ,Charter capital,0.0,159.0,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.08,0.07,0.07,0.02
Tỷ số thanh toán nhanh,Quick ratio,0.41,0.38,0.41,0.32
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.09,0.09,0.09,0.04
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,2.45,2.36,2.47,2.2
Khả năng thanh toán lãi vay,Interest coverage,0.0,0.0,0.0,-2.73
