item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,684465644.0,712053102.0,677986022.0,583206260.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,322635441.0,221009655.0,196648313.0,148295035.0
1. Tiền,1. Cash,51635441.0,33009655.0,33648313.0,23295035.0
2. Các khoản tương đương tiền,2. Cash equivalents,271000000.0,188000000.0,163000000.0,125000000.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,109000000.0,226000000.0,220000000.0,162000000.0
1. Chứng khoán kinh doanh,1. Available for sale securities,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,109000000.0,226000000.0,220000000.0,162000000.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,58307499.0,62209852.0,46005373.0,34566844.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,49415300.0,38595396.0,31455797.0,25228474.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,2957006.0,6779724.0,7960359.0,5617894.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,,,,
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,7010966.0,17910728.0,7665213.0,4796473.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-1075996.0,-1075996.0,-1075996.0,-1075996.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,224.0,,,
IV. Hàng tồn kho,IV. Inventories,190838970.0,199589100.0,211912968.0,234365139.0
1. Hàng tồn kho,1. Inventories,190838970.0,199589100.0,211912968.0,234365139.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,,,,
V. Tài sản ngắn hạn khác,V. Other short-term assets,3683735.0,3244495.0,3419369.0,3979242.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,3530640.0,3240584.0,3415457.0,3285806.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,149183.0,,,623709.0
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,3911.0,3911.0,3911.0,69727.0
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,360304260.0,364133601.0,366328113.0,371205352.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,,,,
1. Phải thu dài hạn của khách hàng,1. Long-term trade receivables,,,,
2. Trả trước cho người bán dài hạn,2. Long-term prepayments to suppliers  ,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,3. Capital at inter-company,,,,
4.  Phải thu nội bộ dài hạn ,4. Long-term inter-company receivables,,,,
5. Phải thu về cho vay dài hạn,5. Long-term loan receivables,,,,
6. Phải thu dài hạn khác,6. Other long-term receivables,,,,
7. Dự phòng phải thu dài hạn khó đòi (*),7. Provision for long-term doubtful debts,,,,
II. Tài sản cố định,II. Fixed assets,279363333.0,265620780.0,272456349.0,278655671.0
1. Tài sản cố định hữu hình,1. Tangible fixed assets,276088822.0,262278213.0,268891000.0,274867235.0
      - Nguyên giá,    - Cost,1622078783.0,1594833857.0,1589037565.0,1582930744.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-1345989961.0,-1332555644.0,-1320146565.0,-1308063509.0
2. Tài sản cố định thuê tài chính,2. Financial leased fixed assets,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
3. Tài sản cố định vô hình,3. Intangible fixed assets,3274511.0,3342567.0,3565350.0,3788436.0
      - Nguyên giá,    - Cost,5851724.0,5705069.0,5705069.0,5705069.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-2577213.0,-2362503.0,-2139720.0,-1916634.0
III. Bất động sản đầu tư,III. Investment properties,5774727.0,5860938.0,5947149.0,6033360.0
      - Nguyên giá,    - Cost,9795838.0,9795838.0,9795838.0,9795838.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-4021111.0,-3934900.0,-3848689.0,-3762478.0
IV. Tài sản dở dang dài hạn,IV. Long-term assets in progress,176337.0,18101823.0,18268533.0,15181836.0
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",1. Long-term production in progress,,,,
2. Chi phí xây dựng cơ bản dở dang,2. Construction in progress,176337.0,18101823.0,18268533.0,15181836.0
V. Đầu tư tài chính dài hạn,V. Long-term financial investments,975860.0,975860.0,975860.0,975860.0
1. Đầu tư vào công ty con,1. Investments in subsidiaries,,,,
2. Đầu tư vào công ty liên kết. liên doanh,"2. Investments in associates, joint-ventures",975860.0,975860.0,975860.0,975860.0
3. Đầu tư góp vốn vào đơn vị khác,3. Investments in other entities,,,,
4. Dự phòng đầu tư tài chính dài hạn (*),4. Provision for diminution in value of long-term investments,,,,
5. Đầu tư nắm giữ đến ngày đáo hạn,5. Held to maturity investments,,,,
6. Đầu tư dài hạn khác,6. Other long-term investments,,,,
VI. Tài sản dài hạn khác,VI. Other long-term assets,74014002.0,73574200.0,68680222.0,70358626.0
1. Chi phí trả trước dài hạn,1. Long-term prepayments,71975388.0,71590300.0,66696322.0,68374726.0
2. Tài sản thuế thu nhập hoãn lại,2. Deferred income tax assets,2038615.0,1983900.0,1983900.0,1983900.0
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn","3. Long-term equipment, supplies, spare parts",,,,
4. Tài sản dài hạn khác,4. Other long-term assets,,,,
5. Lợi thế thương mại,5. Goodwill,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015),VII. Goodwill (before 2015),,,,
TỔNG CỘNG TÀI SẢN,TOTAL ASSETS,1044769904.0,1076186703.0,1044314135.0,954411613.0
NGUỒN VỐN,OWNER'S EQUITY,,,,
A. NỢ PHẢI TRẢ,A.  LIABILITIES ,416859196.0,416830214.0,389264714.0,326297799.0
I. Nợ ngắn hạn,I. Short -term liabilities,399766717.0,399063429.0,370965519.0,308362154.0
1. Phải trả người bán ngắn hạn,1.  Short-term trade accounts payable,45876181.0,40151303.0,47162251.0,48836086.0
2. Người mua trả tiền trước ngắn hạn,2. Short-term advances from customers,9048810.0,3382281.0,3842476.0,5882603.0
3. Thuế và các khoản phải nộp Nhà nước,3. Taxes and other payables to state authorities,134302809.0,163574221.0,150736509.0,92002295.0
4. Phải trả người lao động,4. Payable to employees,41198288.0,35256830.0,30088602.0,20413888.0
5. Chi phí phải trả ngắn hạn,5. Short-term acrrued expenses,2153095.0,17605724.0,18290611.0,9312324.0
6. Phải trả nội bộ ngắn hạn,6. Short-term inter-company payables,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,7. Construction contract progress payments due to suppliers,,,,
8. Doanh thu chưa thực hiện ngắn hạn,8. Short-term unearned revenue,262500.0,262500.0,525000.0,787500.0
9. Phải trả ngắn hạn khác,9. Other short-term payables,27008485.0,32772641.0,24093230.0,37230073.0
10. Vay và nợ thuê tài chính ngắn hạn,10. Short-term borrowings and financial leases,134122498.0,103332783.0,90886684.0,103382871.0
11. Dự phòng phải trả ngắn hạn,11. Provision for short-term liabilities,,,,
"12. Quỹ khen thưởng, phúc lợi",12.. Bonus and welfare fund,5794052.0,2725147.0,5340156.0,-9485485.0
13. Quỹ bình ổn giá,13. Price stabilization fund,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,14. Government bonds,,,,
II. Nợ dài hạn ,II. Long-term liabilities,17092478.0,17766785.0,18299195.0,17935645.0
1. Phải trả người bán dài hạn,1. Long-term trade payables,,,,
2. Người mua trả tiền trước dài hạn,2. Long-term advances from customers,,,,
3. Chi phí phải trả dài hạn,3. Long-term acrrued expenses,,,,
4. Phải trả nội bộ về vốn kinh doanh,4. Inter-company payables on business capital,,,,
5. Phải trả nội bộ dài hạn,5. Long-term inter-company payables,,,,
6. Doanh thu chưa thực hiện dài hạn,6. Long-term unearned revenue,,262500.0,262500.0,262500.0
7. Phải trả dài hạn khác,7. Other long-term liabilities,6899405.0,7425155.0,7986555.0,7769005.0
8. Vay và nợ thuê tài chính dài hạn,8. Long-term borrowings and financial leases,,,,
9. Trái phiếu chuyển đổi,9. Convertible bonds,,,,
10. Cổ phiếu ưu đãi (Nợ),10. Preferred stock (Debts),,,,
11. Thuế thu nhập hoãn lại phải trả,11. Deferred income tax liabilities,,,,
12. Dự phòng phải trả dài hạn,12. Provision for long-term liabilities,10193073.0,10079130.0,10050140.0,9904140.0
13. Quỹ phát triển khoa học và công nghệ,13. Fund for technology development,,,,
14. Dự phòng trợ cấp mất việc làm,14. Provision for severance allowances,,,,
B. VỐN CHỦ SỞ HỮU,B. OWNER'S EQUITY ,627910708.0,659356488.0,655049421.0,628113814.0
I. Vốn chủ sở hữu,I. Owner's equity,627910708.0,659356488.0,655049421.0,628113814.0
1. Vốn góp của chủ sở hữu,1. Owner's capital ,298466480.0,298466480.0,298466480.0,298466480.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Common stock with voting right,298466480.0,298466480.0,298466480.0,298466480.0
- Cổ phiếu ưu đãi,- Preferred stock,,,,
2. Thặng dư vốn cổ phần,2. Share premium,,,,
3. Quyền chọn chuyển đổi trái phiếu,3. Convertible bond option,,,,
4. Vốn khác của chủ sở hữu,4. Other capital of owners,12235.0,12235.0,12235.0,12235.0
5. Cổ phiếu quỹ (*),5. Treasury shares,,,,
6. Chênh lệch đánh giá lại tài sản,6. Assets revaluation differences,,,,
7. Chênh lệch tỷ giá hối đoái,7. Foreign exchange differences,,,,
8. Quỹ đầu tư phát triển,8. Investment and development fund,122511852.0,121527903.0,121527903.0,112822276.0
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,9. Fund to support corporate restructuring,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,10. Other funds from owner's equity,,,,
11. Lợi nhuận sau thuế chưa phân phối,11. Undistributed earnings after tax,206920141.0,239349870.0,235042803.0,216812823.0
- LNST chưa phân phối lũy kế đến cuối kỳ trước,- Accumulated retained earning at the end of the previous period,154419507.0,154419507.0,154419507.0,188085697.0
- LNST chưa phân phối kỳ này,- Undistributed earnings in this period,52500633.0,84930363.0,80623295.0,28727125.0
12. Nguồn vốn đầu tư XDCB,12. Reserves for investment in construction,,,,
13. Lợi ích cổ đông không kiểm soát,13. Minority's interest,,,,
14. Quỹ dự phòng tài chính,14. Financial reserves,,,,
II. Nguồn kinh phí và quỹ khác,II. Other resources and funds ,,,,
1. Nguồn kinh phí,1. Subsidized not-for-profit funds,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,2. Funds invested in fixed assets,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,C. MINORITY'S INTEREST,,,,
TỔNG CỘNG NGUỒN VỐN,TOTAL OWNER'S EQUITY AND LIABILITIES ,1044769904.0,1076186703.0,1044314135.0,954411613.0
