item,item_en,2025,2024,2023,2022
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,5925.35,5980.73,5168.99,6189.46
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),21037.9,20082.21,20048.42,20326.96
Chỉ số giá thị trường trên thu nhập (P/E),P/E,6.73,7.19,7.16,7.18
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,1.89,2.14,1.85,2.19
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,0.87,0.89,0.84,0.96
Tỷ suất cổ tức,Dividend yield,0.14,0.08,0.12,0.08
Beta,Beta,0.13,0.07,0.24,0.31
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,4.44,5.07,5.47,5.74
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,0.0,0.0,0.0,0.0
Tỷ suất lợi nhuận gộp biên,Gross profit margin,31.5,27.94,25.87,26.9
Tỷ lệ lãi EBIT,EBIT margin,16.53,15.63,15.14,17.01
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,20.13,19.17,18.99,20.68
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,12.95,12.34,11.69,13.32
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,28.82,29.81,25.6,31.83
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),35.72,36.64,32.03,38.94
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,16.97,17.36,15.47,19.29
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0,0.0,0.0
Tăng trưởng  doanh thu thuần,Net revenue,-5.61,9.58,-4.86,16.46
Tăng trưởng  lợi nhuận gộp,Gross profit,6.42,18.35,-8.51,18.44
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,-0.68,14.39,-15.52,16.17
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,-0.93,15.7,-16.49,16.41
Tăng trưởng tổng tài sản,Total assets,0.48,2.28,3.89,4.42
Tăng trưởng nợ dài hạn,Long-term liabilities,-9.59,9.81,-33.0,-1.18
Tăng trưởng nợ phải trả,Liabilities,-5.34,5.31,12.48,-2.92
Tăng trưởng vốn chủ sở hữu,Owner's equity,4.76,0.17,-1.37,9.49
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.81,0.63,0.35,0.12
Tỷ số thanh toán nhanh,Quick ratio,1.23,1.04,1.06,0.88
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",1.08,0.9,0.91,0.76
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,1.71,1.6,1.59,1.62
Khả năng thanh toán lãi vay,Interest coverage,67.58,101.08,47.51,53.07
