item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,1756784158.0,1363175909.0,2100954190.0,1598638621.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,4500.0,6500.0,13500.0,3500.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,1756779658.0,1363169409.0,2100940690.0,1598635121.0
4. Giá vốn hàng bán ,4. Cost of goods sold,1046075795.0,840173468.0,983456997.0,901507392.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,710703863.0,522995941.0,1117483693.0,697127729.0
6.Doanh thu hoạt động tài chính ,6. Financial income,85698958.0,33999427.0,45913292.0,24398153.0
7. Chi phí tài chính ,7. Financial expenses,30558485.0,19611477.0,70748861.0,20850698.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,21859416.0,10517092.0,22226715.0,19465922.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,29887229.0,39883114.0,37398164.0,36733277.0
9. Chi phí bán hàng ,9. Selling expenses,30783792.0,28494956.0,29427935.0,32153041.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,163562675.0,113475165.0,138816008.0,113578326.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,601385098.0,435296884.0,961802344.0,591677094.0
12. Thu nhập khác ,12. Other income,-40225.0,18571563.0,26092564.0,6394295.0
13. Chi phí khác ,13.Other expenses,31725798.0,16136729.0,7878148.0,4079075.0
14. Lợi nhuận khác,14. Other profit ,-31766022.0,2434834.0,18214416.0,2315221.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,569619075.0,437731717.0,980016759.0,593992315.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,137135069.0,58954307.0,146232632.0,85953959.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),-28880198.0,4148804.0,34703603.0,12310904.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,461364204.0,374628606.0,799080525.0,495727452.0
Lợi ích của cổ đông thiểu số,Minority's interest,197300724.0,136863653.0,309337056.0,205387269.0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,264063480.0,237764954.0,489743469.0,290340183.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),680.0,618.0,1161.0,723.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,1.0,1.0,1.0,1.0
