item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,3404.89,3319.77,3198.91,2760.59
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),31659.0,30617.0,30772.0,30103.0
Chỉ số giá thị trường trên thu nhập (P/E),P/E,8.81,10.84,9.28,12.68
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,0.95,1.18,0.97,1.16
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,6.43,9.94,5.32,8.24
Tỷ suất cổ tức,Dividend yield,0.04,0.0,0.04,0.03
Beta,Beta,1.02,1.17,1.45,1.5
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,31.58,45.03,17.28,32.43
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,24.88,32.24,14.49,22.49
Tỷ suất lợi nhuận gộp biên,Gross profit margin,40.45,38.37,53.19,43.61
Tỷ lệ lãi EBIT,EBIT margin,33.67,32.88,47.7,38.37
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,42.74,45.94,56.9,55.32
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,26.26,27.48,38.03,31.01
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,2.25,2.06,4.27,2.61
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),3.2,2.47,5.57,3.51
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,1.19,1.08,2.26,1.37
ROE bình quân 4 quý gần nhất,ROE Trailling,17.87,17.78,17.47,15.45
ROA bình quân 4 quý gần nhất,ROA Trailling,5.85,5.79,5.63,4.91
Tăng trưởng  doanh thu thuần,Net revenue,3.53,1.95,34.26,23.78
Tăng trưởng  lợi nhuận gộp,Gross profit,7.82,13.31,59.98,24.79
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,9.78,14.97,60.61,35.43
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,13.81,23.67,50.82,31.51
Tăng trưởng tổng tài sản,Total assets,6.12,4.14,4.35,-10.98
Tăng trưởng nợ dài hạn,Long-term liabilities,11.51,3.4,3.08,-30.48
Tăng trưởng nợ phải trả,Liabilities,2.82,-0.48,1.01,-23.5
Tăng trưởng vốn chủ sở hữu,Owner's equity,9.18,8.78,7.53,4.03
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.39,0.38,0.51,0.37
Tỷ số thanh toán nhanh,Quick ratio,1.42,1.29,1.4,1.33
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",1.11,1.01,1.06,1.02
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,2.08,1.84,2.0,1.97
Khả năng thanh toán lãi vay,Interest coverage,27.06,42.62,45.09,31.51
