item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,1270879728.0,1288505475.0,1198656655.0,1050902171.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,458002835.0,501980405.0,427902814.0,394465783.0
1. Tiền,1. Cash,138002835.0,361980405.0,134902814.0,129115783.0
2. Các khoản tương đương tiền,2. Cash equivalents,320000000.0,140000000.0,293000000.0,265350000.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,101517435.0,109517435.0,104269490.0,91085928.0
1. Chứng khoán kinh doanh,1. Available for sale securities,683873.0,683873.0,683873.0,683873.0
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),-117944.0,-117944.0,-117944.0,-117944.0
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,100951507.0,108951507.0,103703562.0,90520000.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,598648933.0,575726257.0,564084949.0,496104682.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,477714696.0,453982667.0,448222683.0,417349092.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,75850510.0,65170282.0,59151173.0,38410101.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,,,,
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,142668752.0,154603616.0,156173651.0,139106779.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-97585025.0,-98030308.0,-99462559.0,-98761290.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,33767193.0,46029800.0,42404072.0,41000285.0
1. Hàng tồn kho,1. Inventories,34473501.0,46029800.0,42404072.0,41000285.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,-706308.0,,,
V. Tài sản ngắn hạn khác,V. Other short-term assets,78943332.0,55251578.0,59995331.0,28245493.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,6782689.0,8833658.0,10561877.0,7153786.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,53133271.0,46082275.0,46773776.0,21077250.0
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,19027372.0,335645.0,2659678.0,14458.0
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,2359095700.0,2251992062.0,2238674920.0,2037394507.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,3704191.0,3859942.0,3793405.0,3664259.0
1. Phải thu dài hạn của khách hàng,1. Long-term trade receivables,,,,
2. Trả trước cho người bán dài hạn,2. Long-term prepayments to suppliers  ,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,3. Capital at inter-company,,,,
4.  Phải thu nội bộ dài hạn ,4. Long-term inter-company receivables,,,,
5. Phải thu về cho vay dài hạn,5. Long-term loan receivables,,,,
6. Phải thu dài hạn khác,6. Other long-term receivables,3704191.0,3859942.0,3793405.0,3664259.0
7. Dự phòng phải thu dài hạn khó đòi (*),7. Provision for long-term doubtful debts,,,,
II. Tài sản cố định,II. Fixed assets,1159872933.0,1105641411.0,1141549973.0,1069980425.0
1. Tài sản cố định hữu hình,1. Tangible fixed assets,1100814805.0,1045339511.0,1079939123.0,949098782.0
      - Nguyên giá,    - Cost,2548119559.0,2458122919.0,2459866977.0,2274378086.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-1447304755.0,-1412783408.0,-1379927854.0,-1325279304.0
2. Tài sản cố định thuê tài chính,2. Financial leased fixed assets,12935914.0,13498345.0,14060776.0,72585050.0
      - Nguyên giá,    - Cost,16685455.0,16685455.0,16685455.0,94544646.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-3749540.0,-3187109.0,-2624678.0,-21959596.0
3. Tài sản cố định vô hình,3. Intangible fixed assets,46122214.0,46803555.0,47550074.0,48296593.0
      - Nguyên giá,    - Cost,97337963.0,97269951.0,97269951.0,97269951.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-51215749.0,-50466397.0,-49719878.0,-48973359.0
III. Bất động sản đầu tư,III. Investment properties,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
IV. Tài sản dở dang dài hạn,IV. Long-term assets in progress,199909268.0,190455576.0,181459210.0,295950337.0
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",1. Long-term production in progress,,,,
2. Chi phí xây dựng cơ bản dở dang,2. Construction in progress,199909268.0,190455576.0,181459210.0,295950337.0
V. Đầu tư tài chính dài hạn,V. Long-term financial investments,680164906.0,652345549.0,625161315.0,613053973.0
1. Đầu tư vào công ty con,1. Investments in subsidiaries,,,,
2. Đầu tư vào công ty liên kết. liên doanh,"2. Investments in associates, joint-ventures",678535782.0,650716424.0,623532190.0,611424848.0
3. Đầu tư góp vốn vào đơn vị khác,3. Investments in other entities,1629125.0,1629125.0,1629125.0,1629125.0
4. Dự phòng đầu tư tài chính dài hạn (*),4. Provision for diminution in value of long-term investments,,,,
5. Đầu tư nắm giữ đến ngày đáo hạn,5. Held to maturity investments,,,,
6. Đầu tư dài hạn khác,6. Other long-term investments,,,,
VI. Tài sản dài hạn khác,VI. Other long-term assets,315444402.0,299689584.0,286711018.0,54745513.0
