item,item_en,2025,2024,2023,2022
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,1326102106.0,997061057.0,1395936217.0,1199951103.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,57928954.0,105602399.0,109476257.0,235284187.0
1. Tiền,1. Cash,10828954.0,5402399.0,5989452.0,20784187.0
2. Các khoản tương đương tiền,2. Cash equivalents,47100000.0,100200000.0,103486805.0,214500000.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,,,54050637.0,180000000.0
1. Chứng khoán kinh doanh,1. Available for sale securities,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,,,54050637.0,180000000.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,88490975.0,105312985.0,450138869.0,225986702.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,86062098.0,92738754.0,91305668.0,69400072.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,841322.0,7104477.0,354529855.0,151583002.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,,3471000.0,3471000.0,3471000.0
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,1587556.0,1998754.0,832346.0,1532628.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),,,,
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,984257622.0,616099133.0,615023248.0,466136524.0
1. Hàng tồn kho,1. Inventories,991854783.0,622696170.0,621333491.0,472682335.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,-7597161.0,-6597037.0,-6310242.0,-6545811.0
V. Tài sản ngắn hạn khác,V. Other short-term assets,195424554.0,170046541.0,167247206.0,92543690.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,4025463.0,4129693.0,2793026.0,3067765.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,191158286.0,165766676.0,162695833.0,84182005.0
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,240805.0,150171.0,1758346.0,5293919.0
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
