item,item_en,2025,2024,2023,2022
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,1083361021.0,1151290482.0,824072620.0,932679116.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,1083361021.0,1151290482.0,824072620.0,932679116.0
4. Giá vốn hàng bán ,4. Cost of goods sold,818954328.0,912923470.0,638373044.0,721972499.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,264406693.0,238367012.0,185699576.0,210706616.0
6.Doanh thu hoạt động tài chính ,6. Financial income,55742302.0,49398905.0,68460835.0,82417448.0
7. Chi phí tài chính ,7. Financial expenses,7453827.0,7733606.0,9782036.0,9440323.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,5121370.0,7619609.0,7699107.0,7559426.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,73969695.0,52011620.0,24309370.0,-13650871.0
9. Chi phí bán hàng ,9. Selling expenses,,161552.0,,
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,28698388.0,25103845.0,18772087.0,20917973.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,357966474.0,306778534.0,249915658.0,249114897.0
12. Thu nhập khác ,12. Other income,7113951.0,15976044.0,18283174.0,1558750.0
13. Chi phí khác ,13.Other expenses,2031538.0,573766.0,1041375.0,694845.0
14. Lợi nhuận khác,14. Other profit ,5082414.0,15402279.0,17241799.0,863906.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,363048888.0,322180813.0,267157457.0,249978803.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,52625661.0,47940416.0,40166162.0,38074880.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),-664955.0,-114174.0,-1452347.0,160536.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,311088182.0,274354571.0,228443642.0,211743386.0
Lợi ích của cổ đông thiểu số,Minority's interest,105081.0,162724.0,216454.0,566157.0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,310983101.0,274191847.0,228227188.0,211177230.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),4635.0,4086.0,3401.0,3147.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,,4.0,3.0,3.0
