item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,2314512755.0,1795603856.0,1660325021.0,1412207401.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,703535986.0,191488449.0,660126733.0,274964939.0
1. Tiền,1. Cash,24435986.0,12988449.0,22526733.0,40364939.0
2. Các khoản tương đương tiền,2. Cash equivalents,679100000.0,178500000.0,637600000.0,234600000.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,219325920.0,219325920.0,219325920.0,349325920.0
1. Chứng khoán kinh doanh,1. Available for sale securities,219325920.0,219325920.0,219325920.0,219325920.0
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,,,,130000000.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,1275060665.0,1268143848.0,664077999.0,670879277.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,66036896.0,62070177.0,57056212.0,57657052.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,600807265.0,599470647.0,600173801.0,599775300.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,,,,
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,617449005.0,615922232.0,16167193.0,18474199.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-9232501.0,-9319208.0,-9319208.0,-5027273.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,116315416.0,116231407.0,116118605.0,116151641.0
1. Hàng tồn kho,1. Inventories,116315416.0,116231407.0,116118605.0,116151641.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,,,,
V. Tài sản ngắn hạn khác,V. Other short-term assets,274768.0,414232.0,675764.0,885625.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,274768.0,414232.0,675764.0,885625.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,,,,
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,,,,
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,2478876779.0,2685477550.0,2707549678.0,2742201727.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,618257500.0,618257500.0,618257500.0,618257500.0
1. Phải thu dài hạn của khách hàng,1. Long-term trade receivables,,,,
2. Trả trước cho người bán dài hạn,2. Long-term prepayments to suppliers  ,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,3. Capital at inter-company,,,,
4.  Phải thu nội bộ dài hạn ,4. Long-term inter-company receivables,,,,
5. Phải thu về cho vay dài hạn,5. Long-term loan receivables,,,,
6. Phải thu dài hạn khác,6. Other long-term receivables,618257500.0,618257500.0,618257500.0,618257500.0
7. Dự phòng phải thu dài hạn khó đòi (*),7. Provision for long-term doubtful debts,,,,
II. Tài sản cố định,II. Fixed assets,211357094.0,222251023.0,225687552.0,227911551.0
1. Tài sản cố định hữu hình,1. Tangible fixed assets,204894851.0,215742065.0,219131879.0,221309163.0
      - Nguyên giá,    - Cost,317435986.0,338019732.0,337967874.0,336717719.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-112541135.0,-122277667.0,-118835995.0,-115408555.0
2. Tài sản cố định thuê tài chính,2. Financial leased fixed assets,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
3. Tài sản cố định vô hình,3. Intangible fixed assets,6462243.0,6508958.0,6555673.0,6602388.0
      - Nguyên giá,    - Cost,9259505.0,9259505.0,9259505.0,9259505.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-2797262.0,-2750547.0,-2703832.0,-2657117.0
III. Bất động sản đầu tư,III. Investment properties,971833425.0,1164215894.0,1181008544.0,1211755779.0
      - Nguyên giá,    - Cost,1675899972.0,2000366019.0,2000366019.0,2020855687.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-704066548.0,-836150125.0,-819357475.0,-809099908.0
IV. Tài sản dở dang dài hạn,IV. Long-term assets in progress,11182553.0,11527371.0,11401684.0,11353640.0
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",1. Long-term production in progress,,,,
2. Chi phí xây dựng cơ bản dở dang,2. Construction in progress,11182553.0,11527371.0,11401684.0,11353640.0
V. Đầu tư tài chính dài hạn,V. Long-term financial investments,,,,
1. Đầu tư vào công ty con,1. Investments in subsidiaries,,,,
2. Đầu tư vào công ty liên kết. liên doanh,"2. Investments in associates, joint-ventures",,,,
3. Đầu tư góp vốn vào đơn vị khác,3. Investments in other entities,,,,
4. Dự phòng đầu tư tài chính dài hạn (*),4. Provision for diminution in value of long-term investments,,,,
5. Đầu tư nắm giữ đến ngày đáo hạn,5. Held to maturity investments,,,,
6. Đầu tư dài hạn khác,6. Other long-term investments,,,,
VI. Tài sản dài hạn khác,VI. Other long-term assets,666246207.0,669225762.0,671194398.0,672923257.0
1. Chi phí trả trước dài hạn,1. Long-term prepayments,666246207.0,669225762.0,671194398.0,672923257.0
2. Tài sản thuế thu nhập hoãn lại,2. Deferred income tax assets,,,,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn","3. Long-term equipment, supplies, spare parts",,,,
4. Tài sản dài hạn khác,4. Other long-term assets,,,,
5. Lợi thế thương mại,5. Goodwill,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015),VII. Goodwill (before 2015),,,,
TỔNG CỘNG TÀI SẢN,TOTAL ASSETS,4793389533.0,4481081407.0,4367874699.0,4154409128.0
NGUỒN VỐN,OWNER'S EQUITY,,,,
A. NỢ PHẢI TRẢ,A.  LIABILITIES ,3737348122.0,3475796378.0,3433417071.0,3190934637.0
I. Nợ ngắn hạn,I. Short -term liabilities,228118409.0,259206760.0,262790185.0,247105938.0
1. Phải trả người bán ngắn hạn,1.  Short-term trade accounts payable,7105057.0,7673932.0,9219895.0,10010452.0
2. Người mua trả tiền trước ngắn hạn,2. Short-term advances from customers,4175430.0,4175430.0,4175077.0,4175430.0
3. Thuế và các khoản phải nộp Nhà nước,3. Taxes and other payables to state authorities,8214435.0,13579381.0,15922802.0,24110713.0
4. Phải trả người lao động,4. Payable to employees,5987013.0,,,
5. Chi phí phải trả ngắn hạn,5. Short-term acrrued expenses,19614531.0,19286922.0,19780384.0,19097603.0
6. Phải trả nội bộ ngắn hạn,6. Short-term inter-company payables,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,7. Construction contract progress payments due to suppliers,,,,
8. Doanh thu chưa thực hiện ngắn hạn,8. Short-term unearned revenue,132212264.0,144766669.0,146422423.0,144842691.0
9. Phải trả ngắn hạn khác,9. Other short-term payables,35747760.0,54295757.0,50230102.0,32257531.0
10. Vay và nợ thuê tài chính ngắn hạn,10. Short-term borrowings and financial leases,,,,
11. Dự phòng phải trả ngắn hạn,11. Provision for short-term liabilities,,,,
"12. Quỹ khen thưởng, phúc lợi",12.. Bonus and welfare fund,15061920.0,15428669.0,17039501.0,12611518.0
13. Quỹ bình ổn giá,13. Price stabilization fund,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,14. Government bonds,,,,
II. Nợ dài hạn ,II. Long-term liabilities,3509229713.0,3216589618.0,3170626886.0,2943828698.0
1. Phải trả người bán dài hạn,1. Long-term trade payables,,,,
2. Người mua trả tiền trước dài hạn,2. Long-term advances from customers,,,,
3. Chi phí phải trả dài hạn,3. Long-term acrrued expenses,16145242.0,16272963.0,16400683.0,16528404.0
4. Phải trả nội bộ về vốn kinh doanh,4. Inter-company payables on business capital,,,,
5. Phải trả nội bộ dài hạn,5. Long-term inter-company payables,,,,
6. Doanh thu chưa thực hiện dài hạn,6. Long-term unearned revenue,3443371252.0,3144289555.0,3095476899.0,2846580288.0
7. Phải trả dài hạn khác,7. Other long-term liabilities,49713219.0,56027100.0,58749304.0,80720006.0
8. Vay và nợ thuê tài chính dài hạn,8. Long-term borrowings and financial leases,,,,
9. Trái phiếu chuyển đổi,9. Convertible bonds,,,,
10. Cổ phiếu ưu đãi (Nợ),10. Preferred stock (Debts),,,,
11. Thuế thu nhập hoãn lại phải trả,11. Deferred income tax liabilities,,,,
12. Dự phòng phải trả dài hạn,12. Provision for long-term liabilities,,,,
13. Quỹ phát triển khoa học và công nghệ,13. Fund for technology development,,,,
14. Dự phòng trợ cấp mất việc làm,14. Provision for severance allowances,,,,
B. VỐN CHỦ SỞ HỮU,B. OWNER'S EQUITY ,1056041411.0,1005285029.0,934457628.0,963474492.0
I. Vốn chủ sở hữu,I. Owner's equity,1056041411.0,1005285029.0,934457628.0,963474492.0
1. Vốn góp của chủ sở hữu,1. Owner's capital ,548980000.0,548980000.0,548980000.0,548980000.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Common stock with voting right,548980000.0,548980000.0,548980000.0,548980000.0
- Cổ phiếu ưu đãi,- Preferred stock,,,,
2. Thặng dư vốn cổ phần,2. Share premium,,,,
3. Quyền chọn chuyển đổi trái phiếu,3. Convertible bond option,,,,
4. Vốn khác của chủ sở hữu,4. Other capital of owners,,,,
5. Cổ phiếu quỹ (*),5. Treasury shares,,,,
6. Chênh lệch đánh giá lại tài sản,6. Assets revaluation differences,,,,
7. Chênh lệch tỷ giá hối đoái,7. Foreign exchange differences,,,,
8. Quỹ đầu tư phát triển,8. Investment and development fund,193123614.0,122133564.0,122133564.0,94403771.0
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,9. Fund to support corporate restructuring,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,10. Other funds from owner's equity,,,,
11. Lợi nhuận sau thuế chưa phân phối,11. Undistributed earnings after tax,313937797.0,334171465.0,263344064.0,320090721.0
- LNST chưa phân phối lũy kế đến cuối kỳ trước,- Accumulated retained earning at the end of the previous period,148638613.0,148638613.0,148638613.0,264261366.0
- LNST chưa phân phối kỳ này,- Undistributed earnings in this period,165299184.0,185532852.0,114705450.0,55829356.0
12. Nguồn vốn đầu tư XDCB,12. Reserves for investment in construction,,,,
13. Lợi ích cổ đông không kiểm soát,13. Minority's interest,,,,
14. Quỹ dự phòng tài chính,14. Financial reserves,,,,
II. Nguồn kinh phí và quỹ khác,II. Other resources and funds ,,,,
1. Nguồn kinh phí,1. Subsidized not-for-profit funds,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,2. Funds invested in fixed assets,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,C. MINORITY'S INTEREST,,,,
TỔNG CỘNG NGUỒN VỐN,TOTAL OWNER'S EQUITY AND LIABILITIES ,4793389533.0,4481081407.0,4367874699.0,4154409128.0
