item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,132478319.0,135626618.0,137497021.0,125092191.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,132478319.0,135626618.0,137497021.0,125092191.0
4. Giá vốn hàng bán ,4. Cost of goods sold,77811266.0,84204208.0,86070108.0,76701184.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,54667053.0,51422410.0,51426913.0,48391007.0
6.Doanh thu hoạt động tài chính ,6. Financial income,19241696.0,293091.0,8576915.0,290730.0
7. Chi phí tài chính ,7. Financial expenses,1305375.0,1332567.0,898846.0,521771.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,1305336.0,1332567.0,898846.0,521771.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,,,,
9. Chi phí bán hàng ,9. Selling expenses,1155727.0,1692688.0,1054895.0,1092911.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,19381745.0,10255436.0,12192800.0,13419370.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,52065902.0,38434809.0,45857286.0,33647685.0
12. Thu nhập khác ,12. Other income,4118229.0,2854551.0,59555.0,396690.0
13. Chi phí khác ,13.Other expenses,1332439.0,145386.0,3736623.0,875339.0
14. Lợi nhuận khác,14. Other profit ,2785790.0,2709166.0,-3677068.0,-478649.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,54851692.0,41143975.0,42180219.0,33169036.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,7534910.0,8326292.0,7561295.0,6682249.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),78395.0,72238.0,54730.0,58491.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,47238387.0,32745445.0,34564195.0,26428296.0
Lợi ích của cổ đông thiểu số,Minority's interest,,,,
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,47238387.0,32745445.0,34564195.0,26428296.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),1382.0,958.0,1011.0,773.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,,,,
