item,item_en,2025,2024,2023,2022
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,534753004.0,488191876.0,441070578.0,410399350.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,534753004.0,488191876.0,441070578.0,410399350.0
4. Giá vốn hàng bán ,4. Cost of goods sold,324786766.0,326265122.0,288516716.0,276083916.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,209966238.0,161926754.0,152553862.0,134315434.0
6.Doanh thu hoạt động tài chính ,6. Financial income,28402431.0,24777176.0,25149260.0,31483456.0
7. Chi phí tài chính ,7. Financial expenses,4058559.0,3907317.0,2802116.0,677442.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,4058520.0,3907094.0,2802082.0,677378.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,,,,
9. Chi phí bán hàng ,9. Selling expenses,4996220.0,4356375.0,3751216.0,2887917.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,59723306.0,44903257.0,46268593.0,44436588.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,169590584.0,133536982.0,124881198.0,117796943.0
12. Thu nhập khác ,12. Other income,7429026.0,2855837.0,3109480.0,1150948.0
13. Chi phí khác ,13.Other expenses,6089787.0,10029279.0,1.0,56134.0
14. Lợi nhuận khác,14. Other profit ,1339239.0,-7173441.0,3109479.0,1094814.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,170929823.0,126363540.0,127990677.0,118891757.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,30021726.0,23469767.0,25128098.0,19485959.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),264264.0,-1678538.0,-730945.0,169487.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,140643833.0,104572312.0,103593525.0,99236310.0
Lợi ích của cổ đông thiểu số,Minority's interest,,,,
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,140643833.0,104572312.0,103593525.0,99236310.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),4115.0,3059.0,3034.0,4364.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,,3.0,3.0,
