item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,5155.56,4242.9,3940.62,3943.33
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),24957.0,23229.0,22044.0,24010.0
Chỉ số giá thị trường trên thu nhập (P/E),P/E,9.12,10.49,10.51,11.86
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,1.88,1.92,1.88,1.95
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,9.7,8.97,8.23,10.22
Tỷ suất cổ tức,Dividend yield,0.06,0.07,0.05,0.04
Beta,Beta,0.54,0.59,0.5,0.31
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,25.95,32.85,29.39,40.9
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,0.0,0.0,0.0,0.0
Tỷ suất lợi nhuận gộp biên,Gross profit margin,41.26,37.91,37.4,38.68
Tỷ lệ lãi EBIT,EBIT margin,42.39,31.32,31.33,26.93
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,46.88,35.61,35.76,42.68
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,35.66,24.14,25.14,21.13
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,7.17,5.29,5.49,4.11
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),3.25,2.55,2.57,2.0
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,2.39,1.66,1.74,1.38
ROE bình quân 4 quý gần nhất,ROE Trailling,21.88,18.37,17.03,16.95
ROA bình quân 4 quý gần nhất,ROA Trailling,7.12,5.97,5.58,5.65
Tăng trưởng  doanh thu thuần,Net revenue,7.23,9.0,9.99,8.58
Tăng trưởng  lợi nhuận gộp,Gross profit,13.71,50.23,31.15,19.75
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,98.43,41.09,4.38,13.79
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,112.0,33.77,-0.21,14.05
Tăng trưởng tổng tài sản,Total assets,7.53,2.37,5.18,1.81
Tăng trưởng nợ dài hạn,Long-term liabilities,4.77,-0.98,-0.47,-4.26
Tăng trưởng nợ phải trả,Liabilities,7.27,4.0,8.64,1.72
Tăng trưởng vốn chủ sở hữu,Owner's equity,8.05,-0.78,-2.1,1.98
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.15,0.06,0.24,0.35
Tỷ số thanh toán nhanh,Quick ratio,0.49,0.58,0.67,0.78
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.24,0.14,0.3,0.42
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,0.97,1.03,1.0,1.23
Khả năng thanh toán lãi vay,Interest coverage,43.02,31.88,47.93,64.57
