item,item_en,2025,2024,2023,2022
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,3730125316.0,1684453453.0,3237612289.0,2829021098.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,3730125316.0,1684453453.0,3237612289.0,2829021098.0
4. Giá vốn hàng bán ,4. Cost of goods sold,2337533871.0,1264525564.0,2347451344.0,2055126736.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,1392591444.0,419927890.0,890160945.0,773894362.0
6.Doanh thu hoạt động tài chính ,6. Financial income,44720700.0,921847560.0,85108827.0,66072862.0
7. Chi phí tài chính ,7. Financial expenses,177871507.0,201173972.0,99212749.0,19425066.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,159150220.0,171884526.0,75879130.0,14974806.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,384887.0,250418.0,166824.0,734695.0
9. Chi phí bán hàng ,9. Selling expenses,159413389.0,56729376.0,85107815.0,208990859.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,255378646.0,195830099.0,178200960.0,140428122.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,845033489.0,888292421.0,612915073.0,471857871.0
12. Thu nhập khác ,12. Other income,66998155.0,4493280.0,22061180.0,11034560.0
13. Chi phí khác ,13.Other expenses,39514493.0,17172145.0,7641062.0,9170763.0
14. Lợi nhuận khác,14. Other profit ,27483662.0,-12678865.0,14420118.0,1863798.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,872517151.0,875613556.0,627335191.0,473721669.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,239087423.0,194701836.0,151594780.0,108728336.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),-41408824.0,-4188229.0,3055031.0,-4694886.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,674838553.0,685099950.0,472685380.0,369688219.0
Lợi ích của cổ đông thiểu số,Minority's interest,17678094.0,20283691.0,15896581.0,12670562.0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,657160459.0,664816259.0,456788799.0,357017657.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),,2147.0,1522.0,
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,2.0,2.0,2.0,
