item,item_en,2025-Q3,2025-Q2,2025-Q1,2024-Q4
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,18893698334.0,16901576324.0,12332761717.0,13235154649.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,2293002563.0,2560013990.0,1527598540.0,1268134021.0
1. Tiền,1. Cash,309868158.0,413990887.0,472940366.0,249848338.0
2. Các khoản tương đương tiền,2. Cash equivalents,1983134405.0,2146023104.0,1054658174.0,1018285684.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,4578573954.0,3524249765.0,759388322.0,2470152556.0
1. Chứng khoán kinh doanh,1. Available for sale securities,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,4578573954.0,3524249765.0,759388322.0,2470152556.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,1263489799.0,1136866087.0,950808747.0,832362791.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,429199602.0,454927528.0,527952895.0,522478196.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,544911432.0,647777672.0,408578184.0,272381241.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,,,,
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,309215021.0,53997143.0,34113923.0,56291109.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-19836255.0,-19836255.0,-19836255.0,-18787755.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,10402577178.0,9398970663.0,8878430483.0,8471809033.0
1. Hàng tồn kho,1. Inventories,10409472745.0,9405961097.0,8891394531.0,8484652235.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,-6895566.0,-6990435.0,-12964048.0,-12843202.0
V. Tài sản ngắn hạn khác,V. Other short-term assets,356054839.0,281475819.0,216535625.0,192696247.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,250748848.0,163087953.0,51153172.0,38339703.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,87477866.0,83573822.0,132753966.0,122406240.0
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,17828125.0,34814044.0,32628487.0,31950304.0
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,2226992494.0,2307294342.0,2146739448.0,2071002132.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,,,120000.0,3889466.0
1. Phải thu dài hạn của khách hàng,1. Long-term trade receivables,,,,
2. Trả trước cho người bán dài hạn,2. Long-term prepayments to suppliers  ,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,3. Capital at inter-company,,,,
4.  Phải thu nội bộ dài hạn ,4. Long-term inter-company receivables,,,,
5. Phải thu về cho vay dài hạn,5. Long-term loan receivables,,,,
6. Phải thu dài hạn khác,6. Other long-term receivables,,,120000.0,3889466.0
7. Dự phòng phải thu dài hạn khó đòi (*),7. Provision for long-term doubtful debts,,,,
II. Tài sản cố định,II. Fixed assets,349834866.0,358735978.0,351578863.0,354860037.0
1. Tài sản cố định hữu hình,1. Tangible fixed assets,290322981.0,300807008.0,294857775.0,298101765.0
      - Nguyên giá,    - Cost,371868899.0,378807406.0,371598727.0,371179713.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-81545918.0,-78000397.0,-76740951.0,-73077948.0
2. Tài sản cố định thuê tài chính,2. Financial leased fixed assets,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
3. Tài sản cố định vô hình,3. Intangible fixed assets,59511885.0,57928970.0,56721087.0,56758272.0
      - Nguyên giá,    - Cost,64266346.0,62506346.0,61218346.0,61218346.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-4754461.0,-4577376.0,-4497259.0,-4460074.0
III. Bất động sản đầu tư,III. Investment properties,1535513789.0,1653672936.0,1663689483.0,1666110956.0
      - Nguyên giá,    - Cost,1779246036.0,1910801130.0,1910206262.0,1900888019.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-243732247.0,-257128194.0,-246516779.0,-234777063.0
IV. Tài sản dở dang dài hạn,IV. Long-term assets in progress,5927645.0,7469245.0,14430851.0,13403051.0
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",1. Long-term production in progress,,,,
2. Chi phí xây dựng cơ bản dở dang,2. Construction in progress,5927645.0,7469245.0,14430851.0,13403051.0
V. Đầu tư tài chính dài hạn,V. Long-term financial investments,248250904.0,244343127.0,,
1. Đầu tư vào công ty con,1. Investments in subsidiaries,,,,
2. Đầu tư vào công ty liên kết. liên doanh,"2. Investments in associates, joint-ventures",,,,
3. Đầu tư góp vốn vào đơn vị khác,3. Investments in other entities,,,,
4. Dự phòng đầu tư tài chính dài hạn (*),4. Provision for diminution in value of long-term investments,,,,
5. Đầu tư nắm giữ đến ngày đáo hạn,5. Held to maturity investments,248250904.0,244343127.0,,
6. Đầu tư dài hạn khác,6. Other long-term investments,,,,
VI. Tài sản dài hạn khác,VI. Other long-term assets,87465289.0,43073057.0,116920252.0,32738622.0
1. Chi phí trả trước dài hạn,1. Long-term prepayments,23079905.0,23146642.0,23200351.0,23324051.0
2. Tài sản thuế thu nhập hoãn lại,2. Deferred income tax assets,64385384.0,19926415.0,11915058.0,9414572.0
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn","3. Long-term equipment, supplies, spare parts",,,,
4. Tài sản dài hạn khác,4. Other long-term assets,,,,
5. Lợi thế thương mại,5. Goodwill,,,81804844.0,
VII. Lợi thế thương mại (áp dụng trước năm 2015),VII. Goodwill (before 2015),,,,
TỔNG CỘNG TÀI SẢN,TOTAL ASSETS,21120690828.0,19208870666.0,14479501165.0,15306156781.0
NGUỒN VỐN,OWNER'S EQUITY,,,,
A. NỢ PHẢI TRẢ,A.  LIABILITIES ,6850160012.0,4989735673.0,2360234096.0,1857317831.0
I. Nợ ngắn hạn,I. Short -term liabilities,6368625773.0,4313848805.0,1516769199.0,1462547940.0
1. Phải trả người bán ngắn hạn,1.  Short-term trade accounts payable,592749975.0,626349461.0,526087759.0,662858576.0
2. Người mua trả tiền trước ngắn hạn,2. Short-term advances from customers,5349627479.0,3086882507.0,444218754.0,203578337.0
3. Thuế và các khoản phải nộp Nhà nước,3. Taxes and other payables to state authorities,11984255.0,54971616.0,24232320.0,98686399.0
4. Phải trả người lao động,4. Payable to employees,791643.0,27828.0,,
5. Chi phí phải trả ngắn hạn,5. Short-term acrrued expenses,41458798.0,180840149.0,197013094.0,204327375.0
6. Phải trả nội bộ ngắn hạn,6. Short-term inter-company payables,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,7. Construction contract progress payments due to suppliers,,,,
8. Doanh thu chưa thực hiện ngắn hạn,8. Short-term unearned revenue,16992236.0,22220834.0,28033103.0,22317648.0
9. Phải trả ngắn hạn khác,9. Other short-term payables,348106490.0,335916465.0,288390482.0,262984737.0
10. Vay và nợ thuê tài chính ngắn hạn,10. Short-term borrowings and financial leases,,,2100000.0,1050000.0
11. Dự phòng phải trả ngắn hạn,11. Provision for short-term liabilities,319000.0,44044.0,97787.0,148969.0
"12. Quỹ khen thưởng, phúc lợi",12.. Bonus and welfare fund,6595899.0,6595899.0,6595899.0,6595899.0
13. Quỹ bình ổn giá,13. Price stabilization fund,,,,
