item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,724165443.0,785357339.0,674474548.0,592710344.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,147247620.0,122489018.0,60758083.0,59949752.0
1. Tiền,1. Cash,51247620.0,71489018.0,19758083.0,48949752.0
2. Các khoản tương đương tiền,2. Cash equivalents,96000000.0,51000000.0,41000000.0,11000000.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,236639592.0,191474612.0,181337578.0,119231211.0
1. Chứng khoán kinh doanh,1. Available for sale securities,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,236639592.0,191474612.0,181337578.0,119231211.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,323488754.0,457126029.0,416215003.0,395141305.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,291321290.0,393291102.0,389481136.0,369415994.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,8420052.0,19397232.0,14363708.0,12478313.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,,,,
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,24744250.0,45350152.0,13282617.0,14159455.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-996838.0,-912458.0,-912458.0,-912458.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,13796628.0,11343396.0,13286815.0,14387240.0
1. Hàng tồn kho,1. Inventories,13796628.0,11343396.0,13286815.0,14387240.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,,,,
V. Tài sản ngắn hạn khác,V. Other short-term assets,2992849.0,2924284.0,2877068.0,4000836.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,2683929.0,2921741.0,2871954.0,4000836.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,283092.0,,,
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,,,5114.0,
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,25828.0,2544.0,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,462222120.0,419605082.0,439330877.0,444892018.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,9675300.0,9675300.0,16791300.0,17691300.0
1. Phải thu dài hạn của khách hàng,1. Long-term trade receivables,,,,
2. Trả trước cho người bán dài hạn,2. Long-term prepayments to suppliers  ,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,3. Capital at inter-company,,,,
4.  Phải thu nội bộ dài hạn ,4. Long-term inter-company receivables,,,,
5. Phải thu về cho vay dài hạn,5. Long-term loan receivables,,,,
6. Phải thu dài hạn khác,6. Other long-term receivables,9675300.0,9675300.0,16791300.0,17691300.0
7. Dự phòng phải thu dài hạn khó đòi (*),7. Provision for long-term doubtful debts,,,,
II. Tài sản cố định,II. Fixed assets,228138718.0,229018147.0,236347721.0,243516326.0
1. Tài sản cố định hữu hình,1. Tangible fixed assets,206558730.0,207230907.0,214353229.0,221579398.0
      - Nguyên giá,    - Cost,914106823.0,907540566.0,907509872.0,908038205.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-707548094.0,-700309659.0,-693156643.0,-686458806.0
2. Tài sản cố định thuê tài chính,2. Financial leased fixed assets,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
3. Tài sản cố định vô hình,3. Intangible fixed assets,21579988.0,21787240.0,21994491.0,21936928.0
      - Nguyên giá,    - Cost,28941911.0,28941911.0,28941911.0,28691911.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-7361923.0,-7154672.0,-6947420.0,-6754983.0
III. Bất động sản đầu tư,III. Investment properties,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
IV. Tài sản dở dang dài hạn,IV. Long-term assets in progress,29790216.0,4430964.0,4187525.0,3748174.0
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",1. Long-term production in progress,,,,
2. Chi phí xây dựng cơ bản dở dang,2. Construction in progress,29790216.0,4430964.0,4187525.0,3748174.0
V. Đầu tư tài chính dài hạn,V. Long-term financial investments,163111722.0,152293066.0,157752906.0,151657329.0
1. Đầu tư vào công ty con,1. Investments in subsidiaries,,,,
2. Đầu tư vào công ty liên kết. liên doanh,"2. Investments in associates, joint-ventures",136632242.0,125813586.0,131273426.0,125177849.0
3. Đầu tư góp vốn vào đơn vị khác,3. Investments in other entities,,26479480.0,,26479480.0
4. Dự phòng đầu tư tài chính dài hạn (*),4. Provision for diminution in value of long-term investments,,,,
5. Đầu tư nắm giữ đến ngày đáo hạn,5. Held to maturity investments,,,,
6. Đầu tư dài hạn khác,6. Other long-term investments,26479480.0,,26479480.0,
VI. Tài sản dài hạn khác,VI. Other long-term assets,31506164.0,24187605.0,24251425.0,28278889.0
1. Chi phí trả trước dài hạn,1. Long-term prepayments,31506164.0,24187605.0,24251425.0,28278889.0
2. Tài sản thuế thu nhập hoãn lại,2. Deferred income tax assets,,,,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn","3. Long-term equipment, supplies, spare parts",,,,
4. Tài sản dài hạn khác,4. Other long-term assets,,,,
5. Lợi thế thương mại,5. Goodwill,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015),VII. Goodwill (before 2015),,,,
TỔNG CỘNG TÀI SẢN,TOTAL ASSETS,1186387563.0,1204962421.0,1113805424.0,1037602362.0
NGUỒN VỐN,OWNER'S EQUITY,,,,
A. NỢ PHẢI TRẢ,A.  LIABILITIES ,473376801.0,534086802.0,468004822.0,366620308.0
I. Nợ ngắn hạn,I. Short -term liabilities,396513941.0,487956139.0,431873195.0,328676982.0
