item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,76612765855.0,78382769920.0,61740702018.0,52968968277.0
I. Tài sản tài chính ngắn hạn,Short-term financial assets,76597293422.0,78349422229.0,61688842642.0,52883371584.0
1. Tiền và các khoản tương đương tiền,1. Cash and cash equivalents,3108078222.0,5291517937.0,2997602183.0,2310027768.0
1.1. Tiền,1.1. Cash,3108078222.0,5130517937.0,2910602183.0,2273027768.0
1.2. Các khoản tương đương tiền,1.2. Cash equivalents,,161000000.0,87000000.0,37000000.0
Các khoản đầu tư tài chính ngắn hạn,Short-term investments,,,,
+Đầu tư ngắn hạn,+ Short-term investments,,,,
+Đầu tư ngắn hạn của người ủy thác Đầu tư,+ Short-term investments of trust investors,,,,
Dự phòng giảm giá đầu tư ngắn hạn,Provision for diminution in value of short-term investments ,,,,
2. Các tài sản tài chính ghi nhận thông qua lãi lỗ (FVTPL),2. Financial assets at fair value through profit or loss (FVTPL),38923021.0,38832202.0,51182162.0,33872595.0
3. Các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),3. Held to maturity investments (HTM),3657418740.0,3451358569.0,2800679117.0,2854426333.0
4. Các khoản cho vay,4. Loans,43859732477.0,41712992337.0,33805854891.0,30471557083.0
5. Các tài sản tài chính sẵn sàn để bán (AFS),5. Available-for-sale financial assets (AFS),25218442813.0,27078689795.0,21171790943.0,16228986013.0
6. Dự phòng suy giảm giá trị tài sản tài chính và tài sản thế chấp,6. Provisions for impairment loss of financial assets and mortgages,-12757949.0,-11866417.0,-12345953.0,-11506571.0
7. Các khoản phải thu ngắn hạn,7. Short-term receivables,686848053.0,526862179.0,578703274.0,472346385.0
7.1. Phải thu bán các tài sản tài chính,7.1. Receivables from disposal of financial assets ,195489.0,,,
"7.2. Phải thu và dự thu cổ tức, tiền lãi các tài sản tài chính",7.2. Receivables and accruals from dividends and interest income,686652564.0,526862179.0,578703274.0,472346385.0
"7.2.1. Phải thu cổ tức, tiền lãi đến ngày nhận",7.2.1. Due dividend and interest receivables,1200.0,1.0,481.0,3.0
"Trong đó: Phải thu khó đòi về cổ tức, tiền lãi đến ngày nhận  nhưng chưa nhận được","In which: Doubtful Receivables of dividends, interest to date of receipt but not yet received",,,,
"7.2.2. Dự thu cổ tức, tiền lãi chưa đến ngày nhận",7.2.2. Undue dividend and interest receivables,686651364.0,526862178.0,578702793.0,472346382.0
Trả trước cho người bán,Prepayments to suppliers,5729879.0,3596684.0,6902531.0,3435219.0
9. Phải thu các dịch vụ CTCK cung cấp,9. Service related receivable,32804971.0,47169487.0,44473790.0,233460527.0
Phải thu hoạt động giao dịch chứng khoán,Receivables from securities trading activities,,,,
10. Phải thu nội bộ ngắn hạn,10. Short -term inter-company receivables,,,,
11. Phải thu về lỗi giao dịch chứng khoán,11. Receivables of securities trading error,,,,
12. Các khoản phải thu khác,12. Other receivables,2271196.0,210474055.0,244187805.0,286954332.0
13. Dự phòng suy giảm giá trị các khoản phải thu,13. Provision for doubtful debts,-198000.0,-204600.0,-188100.0,-188100.0
Dự phòng các khoản phải thu ngắn hạn khó đòi,Provision for short-term doubtful debts,,,,
Phải thu khách hàng,Trade accounts receivable,,,,
Hàng tồn kho,Inventories,,,,
Hàng tồn kho (chi tiết),Inventories (Detail),,,,
Dự phòng giảm giá hàng tồn kho,Provision for decline in value of inventories ,,,,
II. Tài sản ngắn hạn khác,II. Other short-term assets,15472434.0,33347691.0,51859376.0,85596694.0
1. Tạm ứng,1. Advances,410200.0,315700.0,289100.0,332000.0
"2. Vật tư văn phòng, công cụ, dụng cụ","2. Office supplies, tools",1640794.0,1794936.0,1845170.0,934210.0
3. Chi phí trả trước ngắn hạn,3. Short-term prepayments,13408458.0,31232954.0,49725106.0,84330484.0
"4. Cầm cố, thế chấp, ký quỹ, ký cược ngắn hạn","4. Pledged assets, mortgages, security deposits in short term",12981.0,4101.0,,
8. Thuế GTGT còn được khấu trừ,8. Value Added Tax to be reclaimed,,,,
Thuế và các khoản khác phải thu của nhà nước,Taxes and other receivables from state authorities,,,,
Giao dịch mua bán lại trái phiếu Chính phủ (TS),Transaction buy backs governmental bond,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
6. Dự phòng suy giảm giá trị tài sản ngắn hạn khác,6. Provision for other short-term assets,,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS,4019491144.0,3390212190.0,3393485968.0,3360594809.0
I. Tài sản tài chính dài hạn,I. Long-term financial assets,3610268432.0,3043681256.0,3043681256.0,3033431775.0
1. Các khoản phải thu dài hạn,1. Long-term receivables,,,,
1.1. Phải thu dài hạn của khách hàng,1.1. Long-term trade receivables,,,,
1.2. Vốn kinh doanh ở các đơn vị trực thuộc,1.2. Capital at inter-company,,,,
