item,item_en,2025,2024,2023,2022
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,2525417675.0,1194959392.0,583802824.0,2500285149.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,47560530.0,24387302.0,283078877.0,12469622.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,2477857145.0,1170572090.0,300723948.0,2487815526.0
4. Giá vốn hàng bán ,4. Cost of goods sold,1980117673.0,566533888.0,197347509.0,2081340839.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,497739472.0,604038202.0,103376438.0,406474688.0
6.Doanh thu hoạt động tài chính ,6. Financial income,177494589.0,128655193.0,56333878.0,922198.0
7. Chi phí tài chính ,7. Financial expenses,152894961.0,163549019.0,190899175.0,247069632.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,152984961.0,163549019.0,190899175.0,247069632.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,6500951.0,2728230.0,1863250.0,7410648.0
9. Chi phí bán hàng ,9. Selling expenses,96421082.0,80370054.0,56003456.0,90438690.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,85776057.0,61662219.0,75221012.0,47425670.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,346642913.0,429840332.0,-160550076.0,29873543.0
12. Thu nhập khác ,12. Other income,5291508.0,6915203.0,233180.0,100924149.0
13. Chi phí khác ,13.Other expenses,28214008.0,5634933.0,241086402.0,45703313.0
14. Lợi nhuận khác,14. Other profit ,-22922500.0,1280270.0,-240853222.0,55220836.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,323720413.0,431120602.0,-401403298.0,85094380.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,48315099.0,14959737.0,1400014.0,50144249.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),-3341943.0,-1308299.0,-6846.0,228300.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,278747258.0,417469164.0,-402796465.0,34721831.0
Lợi ích của cổ đông thiểu số,Minority's interest,2990955.0,2516232.0,19961.0,4618980.0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,275756303.0,414952932.0,-402816427.0,30102852.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),2300.0,4146.0,-4032.0,240.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,2.0,4.0,-4.0,0.0
