item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,3355062645.0,3266339204.0,3080311945.0,3038550056.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,1059186413.0,740072152.0,637491191.0,647755867.0
1. Tiền,1. Cash,49186413.0,41572152.0,30491191.0,47755867.0
2. Các khoản tương đương tiền,2. Cash equivalents,1010000000.0,698500000.0,607000000.0,600000000.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,432315980.0,476815980.0,553015980.0,406864707.0
1. Chứng khoán kinh doanh,1. Available for sale securities,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,432315980.0,476815980.0,553015980.0,406864707.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,669994595.0,809800434.0,678304273.0,740735798.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,416688060.0,403832185.0,316826342.0,424662049.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,231377783.0,222598149.0,172186112.0,186698425.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,,40000000.0,167789619.0,114450000.0
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,24843050.0,143495730.0,21627829.0,15072693.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-2914298.0,-125630.0,-125630.0,-147369.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,1135263006.0,1182771455.0,1165091533.0,1202295346.0
1. Hàng tồn kho,1. Inventories,1135263006.0,1182771455.0,1165091533.0,1202295346.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,,,,
V. Tài sản ngắn hạn khác,V. Other short-term assets,58302652.0,56879183.0,46408969.0,40898338.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,5719984.0,8190630.0,6710550.0,7504814.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,52582668.0,48584207.0,39594072.0,33260715.0
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,,104346.0,104346.0,132810.0
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,1115700968.0,945370060.0,956708971.0,953104545.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,339274167.0,153555656.0,155416295.0,151876514.0
1. Phải thu dài hạn của khách hàng,1. Long-term trade receivables,,,,
2. Trả trước cho người bán dài hạn,2. Long-term prepayments to suppliers  ,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,3. Capital at inter-company,,,,
4.  Phải thu nội bộ dài hạn ,4. Long-term inter-company receivables,,,,
5. Phải thu về cho vay dài hạn,5. Long-term loan receivables,186000000.0,,3150000.0,3150000.0
6. Phải thu dài hạn khác,6. Other long-term receivables,153274167.0,153555656.0,152266295.0,148726514.0
7. Dự phòng phải thu dài hạn khó đòi (*),7. Provision for long-term doubtful debts,,,,
II. Tài sản cố định,II. Fixed assets,403871075.0,419115229.0,415197736.0,428346063.0
1. Tài sản cố định hữu hình,1. Tangible fixed assets,351087472.0,363786364.0,373798283.0,396398816.0
      - Nguyên giá,    - Cost,776679552.0,776513174.0,778722929.0,781902362.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-425592080.0,-412726809.0,-404924646.0,-385503545.0
2. Tài sản cố định thuê tài chính,2. Financial leased fixed assets,51698144.0,54076265.0,39979712.0,30360365.0
      - Nguyên giá,    - Cost,69127725.0,69341057.0,53459009.0,56018641.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-17429581.0,-15264792.0,-13479297.0,-25658276.0
3. Tài sản cố định vô hình,3. Intangible fixed assets,1085459.0,1252600.0,1419741.0,1586882.0
      - Nguyên giá,    - Cost,3918843.0,3918843.0,3918843.0,3918843.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-2833383.0,-2666242.0,-2499101.0,-2331961.0
III. Bất động sản đầu tư,III. Investment properties,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
IV. Tài sản dở dang dài hạn,IV. Long-term assets in progress,1918048.0,1276555.0,14218715.0,1051345.0
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",1. Long-term production in progress,,,,
2. Chi phí xây dựng cơ bản dở dang,2. Construction in progress,1918048.0,1276555.0,14218715.0,1051345.0
V. Đầu tư tài chính dài hạn,V. Long-term financial investments,361234533.0,362981739.0,361345369.0,362185124.0
1. Đầu tư vào công ty con,1. Investments in subsidiaries,,,,
2. Đầu tư vào công ty liên kết. liên doanh,"2. Investments in associates, joint-ventures",305234533.0,306981739.0,305345369.0,306185124.0
3. Đầu tư góp vốn vào đơn vị khác,3. Investments in other entities,51000000.0,51000000.0,51000000.0,51000000.0
4. Dự phòng đầu tư tài chính dài hạn (*),4. Provision for diminution in value of long-term investments,,,,5000000.0
5. Đầu tư nắm giữ đến ngày đáo hạn,5. Held to maturity investments,5000000.0,5000000.0,5000000.0,
6. Đầu tư dài hạn khác,6. Other long-term investments,,,,
VI. Tài sản dài hạn khác,VI. Other long-term assets,9403145.0,8440881.0,10530857.0,9645499.0
1. Chi phí trả trước dài hạn,1. Long-term prepayments,8685665.0,8211448.0,9081592.0,9097045.0
2. Tài sản thuế thu nhập hoãn lại,2. Deferred income tax assets,717479.0,229433.0,1449265.0,548454.0
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn","3. Long-term equipment, supplies, spare parts",,,,
4. Tài sản dài hạn khác,4. Other long-term assets,,,,
5. Lợi thế thương mại,5. Goodwill,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015),VII. Goodwill (before 2015),,,,
TỔNG CỘNG TÀI SẢN,TOTAL ASSETS,4470763614.0,4211709264.0,4037020916.0,3991654602.0
NGUỒN VỐN,OWNER'S EQUITY,,,,
A. NỢ PHẢI TRẢ,A.  LIABILITIES ,3351981585.0,3115697310.0,2975807262.0,2956450913.0
I. Nợ ngắn hạn,I. Short -term liabilities,3094560881.0,2855953974.0,2723307992.0,2717432748.0
1. Phải trả người bán ngắn hạn,1.  Short-term trade accounts payable,305881873.0,142865338.0,267152846.0,246369906.0
2. Người mua trả tiền trước ngắn hạn,2. Short-term advances from customers,59600872.0,66043914.0,68514772.0,34325343.0
3. Thuế và các khoản phải nộp Nhà nước,3. Taxes and other payables to state authorities,34622091.0,28550726.0,19669600.0,28110972.0
4. Phải trả người lao động,4. Payable to employees,27425220.0,19164955.0,15103537.0,17599524.0
5. Chi phí phải trả ngắn hạn,5. Short-term acrrued expenses,7460438.0,3324441.0,6226694.0,6442151.0
6. Phải trả nội bộ ngắn hạn,6. Short-term inter-company payables,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,7. Construction contract progress payments due to suppliers,,,,
8. Doanh thu chưa thực hiện ngắn hạn,8. Short-term unearned revenue,2779166.0,2569460.0,3739264.0,5140119.0
9. Phải trả ngắn hạn khác,9. Other short-term payables,2592129.0,2534932.0,2577150.0,1951337.0
10. Vay và nợ thuê tài chính ngắn hạn,10. Short-term borrowings and financial leases,2654199090.0,2590900209.0,2340324129.0,2377493396.0
11. Dự phòng phải trả ngắn hạn,11. Provision for short-term liabilities,,,,
"12. Quỹ khen thưởng, phúc lợi",12.. Bonus and welfare fund,,,,
13. Quỹ bình ổn giá,13. Price stabilization fund,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,14. Government bonds,,,,
II. Nợ dài hạn ,II. Long-term liabilities,257420704.0,259743336.0,252499271.0,239018166.0
1. Phải trả người bán dài hạn,1. Long-term trade payables,,,,
2. Người mua trả tiền trước dài hạn,2. Long-term advances from customers,,,,
3. Chi phí phải trả dài hạn,3. Long-term acrrued expenses,,,,
