item,item_en,2025,2024,2023,2022
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,1748991027.0,1713791495.0,1660437785.0,2252230403.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,19182992.0,68290609.0,91053388.0,79203619.0
1. Tiền,1. Cash,19182992.0,68290609.0,82966810.0,77203619.0
2. Các khoản tương đương tiền,2. Cash equivalents,,,8086578.0,2000000.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,,,45089055.0,6101779.0
1. Chứng khoán kinh doanh,1. Available for sale securities,,,,2326.0
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,-547.0
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,,,45089055.0,6100000.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,1721532717.0,1634803392.0,1420938433.0,2091677924.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,91117042.0,123690933.0,292181195.0,1691101410.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,3024375.0,3325896.0,70075052.0,10064041.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,1563000000.0,1450200000.0,1039000000.0,
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,64484600.0,57679864.0,27464478.0,404262767.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-93300.0,-93300.0,-7782292.0,-13750293.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,,,77641332.0,43171546.0
1. Hàng tồn kho,1. Inventories,,,77641332.0,43171546.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,,,,
V. Tài sản ngắn hạn khác,V. Other short-term assets,8275318.0,10697494.0,25715578.0,32075535.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,5089970.0,5835421.0,7147407.0,13364981.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,2937022.0,4862072.0,18005737.0,18396693.0
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,248327.0,,562434.0,313861.0
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,2793689749.0,2745870097.0,5095287991.0,6022764705.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,92996257.0,92666972.0,711936896.0,737750611.0
1. Phải thu dài hạn của khách hàng,1. Long-term trade receivables,,,,
2. Trả trước cho người bán dài hạn,2. Long-term prepayments to suppliers  ,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,3. Capital at inter-company,,,,
4.  Phải thu nội bộ dài hạn ,4. Long-term inter-company receivables,,,,
5. Phải thu về cho vay dài hạn,5. Long-term loan receivables,,,,
6. Phải thu dài hạn khác,6. Other long-term receivables,92996257.0,92666972.0,711936896.0,737750611.0
7. Dự phòng phải thu dài hạn khó đòi (*),7. Provision for long-term doubtful debts,,,,
II. Tài sản cố định,II. Fixed assets,198976.0,236458.0,28658353.0,32342793.0
1. Tài sản cố định hữu hình,1. Tangible fixed assets,175009.0,207463.0,20431330.0,24110742.0
      - Nguyên giá,    - Cost,490946.0,490946.0,298855715.0,304200630.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-315937.0,-283483.0,-278424385.0,-280089888.0
2. Tài sản cố định thuê tài chính,2. Financial leased fixed assets,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
3. Tài sản cố định vô hình,3. Intangible fixed assets,23967.0,28995.0,8227023.0,8232051.0
      - Nguyên giá,    - Cost,50310.0,50310.0,9401460.0,9401460.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-26343.0,-21315.0,-1174437.0,-1169409.0
III. Bất động sản đầu tư,III. Investment properties,,,105495282.0,105495282.0
      - Nguyên giá,    - Cost,,,105495282.0,105495282.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
IV. Tài sản dở dang dài hạn,IV. Long-term assets in progress,18458742.0,17917377.0,239616256.0,242912209.0
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",1. Long-term production in progress,17917377.0,17917377.0,,
