item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,2783382755.0,2761087982.0,3559879267.0,4282714657.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,314473.0,69886.0,1582145.0,40018.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,2783068282.0,2761018097.0,3558297122.0,4282674639.0
4. Giá vốn hàng bán ,4. Cost of goods sold,2571274772.0,2535137038.0,3182588850.0,4056418028.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,211793509.0,225881059.0,375708272.0,226256610.0
6.Doanh thu hoạt động tài chính ,6. Financial income,169341473.0,84973226.0,164806508.0,480048848.0
7. Chi phí tài chính ,7. Financial expenses,49072148.0,39599879.0,64931443.0,61194116.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,44933168.0,41411646.0,60619124.0,57162421.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,9990183.0,1352962.0,3251236.0,1535737.0
9. Chi phí bán hàng ,9. Selling expenses,38683217.0,35498329.0,42456613.0,34514903.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,105260003.0,37944882.0,65635793.0,44967248.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,198109798.0,199164156.0,370742168.0,567164928.0
12. Thu nhập khác ,12. Other income,10692924.0,4601427.0,1521011.0,6733152.0
13. Chi phí khác ,13.Other expenses,183397143.0,4950916.0,5659293.0,147127288.0
14. Lợi nhuận khác,14. Other profit ,-172704220.0,-349489.0,-4138282.0,-140394136.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,25405578.0,198814667.0,366603885.0,426770792.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,63354428.0,96104733.0,112797402.0,123795455.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),-39746063.0,-56365864.0,-41458114.0,-5764958.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,1797213.0,159075798.0,295264598.0,308740295.0
Lợi ích của cổ đông thiểu số,Minority's interest,31223877.0,24784176.0,52657271.0,17185159.0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,-29426664.0,134291622.0,242607327.0,291555136.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),-147.0,671.0,1213.0,1458.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,,,,
