item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,1716057755.0,1619556215.0,1720181658.0,613128852.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,1185897344.0,16134482.0,61155319.0,38436674.0
1. Tiền,1. Cash,3897344.0,3634482.0,4217663.0,2536674.0
2. Các khoản tương đương tiền,2. Cash equivalents,1182000000.0,12500000.0,56937655.0,35900000.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,9700000.0,4900000.0,73900000.0,73900000.0
1. Chứng khoán kinh doanh,1. Available for sale securities,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,9700000.0,4900000.0,73900000.0,73900000.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,389405869.0,1466439722.0,1449966014.0,362956627.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,8099731.0,6010599.0,7683574.0,12588376.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,1022355.0,979470.0,1758114.0,983946.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,277345050.0,313520398.0,227434633.0,220302643.0
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,102938733.0,1145929255.0,1213089693.0,131066801.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),,,,-1985139.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,128160085.0,129040287.0,131536115.0,134001717.0
1. Hàng tồn kho,1. Inventories,128160085.0,129040287.0,131536115.0,134001717.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,,,,
V. Tài sản ngắn hạn khác,V. Other short-term assets,2894458.0,3041724.0,3624211.0,3833833.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,614878.0,850842.0,1445938.0,1770180.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,2044840.0,2035392.0,2022783.0,2008608.0
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,234740.0,155489.0,155489.0,55045.0
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,439602442.0,441611832.0,435530299.0,1468707808.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,50000.0,50000.0,,1033200000.0
1. Phải thu dài hạn của khách hàng,1. Long-term trade receivables,,,,
2. Trả trước cho người bán dài hạn,2. Long-term prepayments to suppliers  ,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,3. Capital at inter-company,,,,
4.  Phải thu nội bộ dài hạn ,4. Long-term inter-company receivables,,,,
5. Phải thu về cho vay dài hạn,5. Long-term loan receivables,,50000.0,,1033200000.0
6. Phải thu dài hạn khác,6. Other long-term receivables,50000.0,,,
7. Dự phòng phải thu dài hạn khó đòi (*),7. Provision for long-term doubtful debts,,,,
II. Tài sản cố định,II. Fixed assets,18835937.0,19759848.0,20070068.0,21104237.0
1. Tài sản cố định hữu hình,1. Tangible fixed assets,18835937.0,19759848.0,20070068.0,21104237.0
      - Nguyên giá,    - Cost,107519239.0,107942092.0,107124977.0,107057637.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-88683302.0,-88182244.0,-87054909.0,-85953400.0
2. Tài sản cố định thuê tài chính,2. Financial leased fixed assets,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
3. Tài sản cố định vô hình,3. Intangible fixed assets,,,,
      - Nguyên giá,    - Cost,35000.0,35000.0,35000.0,35000.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-35000.0,-35000.0,-35000.0,-35000.0
III. Bất động sản đầu tư,III. Investment properties,27086783.0,27471408.0,27857703.0,26468374.0
      - Nguyên giá,    - Cost,130627080.0,130627080.0,130627080.0,128844705.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-103540297.0,-103155671.0,-102769377.0,-102376331.0
IV. Tài sản dở dang dài hạn,IV. Long-term assets in progress,724971.0,1300527.0,1300527.0,1300527.0
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",1. Long-term production in progress,,,,
2. Chi phí xây dựng cơ bản dở dang,2. Construction in progress,724971.0,1300527.0,1300527.0,1300527.0
V. Đầu tư tài chính dài hạn,V. Long-term financial investments,357986296.0,358635709.0,351358983.0,351142975.0
1. Đầu tư vào công ty con,1. Investments in subsidiaries,,,,
2. Đầu tư vào công ty liên kết. liên doanh,"2. Investments in associates, joint-ventures",324969365.0,323817380.0,321311504.0,319284697.0
3. Đầu tư góp vốn vào đơn vị khác,3. Investments in other entities,36544595.0,36544595.0,36544595.0,36544595.0
4. Dự phòng đầu tư tài chính dài hạn (*),4. Provision for diminution in value of long-term investments,-3527664.0,-1726267.0,-6497116.0,-4686317.0
