item,item_en,2024,2023,2022,2021
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,6043911828.0,5887936413.0,5278616436.0,4520406433.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,1309974149.0,1446850161.0,1159129923.0,671416381.0
1. Tiền,1. Cash,646915149.0,1143436661.0,732934923.0,611453381.0
2. Các khoản tương đương tiền,2. Cash equivalents,663059000.0,303413500.0,426195000.0,59963000.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,3298400.0,70136416.0,8198000.0,5570000.0
1. Chứng khoán kinh doanh,1. Available for sale securities,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,3298400.0,70136416.0,8198000.0,5570000.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,1916513888.0,1428862325.0,2130227658.0,1528350880.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,1723383649.0,1258027520.0,1951233600.0,1333871577.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,16693258.0,20937660.0,23257192.0,27310831.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,,8000000.0,22600000.0,22600000.0
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,182285681.0,149046559.0,140286279.0,151856960.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-5848700.0,-7149414.0,-7149414.0,-7288488.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,2728881342.0,2877977117.0,1944110852.0,2298803315.0
1. Hàng tồn kho,1. Inventories,2728881342.0,2877977117.0,1944110852.0,2298803315.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,,,,
V. Tài sản ngắn hạn khác,V. Other short-term assets,85244049.0,64110394.0,36950003.0,16265856.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,12028981.0,10580392.0,6335941.0,3346382.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,72323880.0,53298055.0,30398510.0,12388284.0
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,891187.0,231947.0,215552.0,531190.0
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,3016921691.0,3283330779.0,2787515550.0,3406475302.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,54229508.0,39175750.0,40175617.0,42142867.0
1. Phải thu dài hạn của khách hàng,1. Long-term trade receivables,,3789172.0,3789172.0,3789172.0
2. Trả trước cho người bán dài hạn,2. Long-term prepayments to suppliers  ,13184629.0,13184629.0,14187196.0,14187196.0
3. Vốn kinh doanh ở các đơn vị trực thuộc,3. Capital at inter-company,,,,
4.  Phải thu nội bộ dài hạn ,4. Long-term inter-company receivables,,,,
5. Phải thu về cho vay dài hạn,5. Long-term loan receivables,,,,
6. Phải thu dài hạn khác,6. Other long-term receivables,41044879.0,22201950.0,22199250.0,24166500.0
7. Dự phòng phải thu dài hạn khó đòi (*),7. Provision for long-term doubtful debts,,,,
II. Tài sản cố định,II. Fixed assets,1569612231.0,1524289806.0,1583523374.0,1540451786.0
1. Tài sản cố định hữu hình,1. Tangible fixed assets,1241177213.0,1194458300.0,1246828154.0,1220164313.0
      - Nguyên giá,    - Cost,2407539659.0,2289987971.0,2269033626.0,2167589807.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-1166362446.0,-1095529670.0,-1022205472.0,-947425494.0
2. Tài sản cố định thuê tài chính,2. Financial leased fixed assets,,,,
      - Nguyên giá,    - Cost,,,,
