item,item_en,2024,2023,2022,2021
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,20271716329.0,19933917252.0,25508217273.0,11904520096.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,,,,2757672.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,20271716329.0,19933917252.0,25508217273.0,11901762424.0
4. Giá vốn hàng bán ,4. Cost of goods sold,19478518767.0,19172185959.0,24815835544.0,11287075562.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,793197562.0,761731293.0,692381729.0,614686862.0
6.Doanh thu hoạt động tài chính ,6. Financial income,57787102.0,82623585.0,59562146.0,28487412.0
7. Chi phí tài chính ,7. Financial expenses,270462772.0,285884536.0,244788558.0,160644356.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,207336699.0,212694757.0,141565022.0,150528573.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,23487684.0,20713710.0,24102595.0,-4310849.0
9. Chi phí bán hàng ,9. Selling expenses,409617825.0,322274924.0,356584021.0,244149305.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,107425103.0,99438485.0,100324697.0,88593516.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,86966648.0,157470643.0,74349193.0,145476249.0
12. Thu nhập khác ,12. Other income,72439952.0,13692374.0,9343915.0,6655868.0
13. Chi phí khác ,13.Other expenses,60990733.0,8840458.0,4697042.0,3269328.0
14. Lợi nhuận khác,14. Other profit ,11449219.0,4851915.0,4646873.0,3386540.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,98415867.0,162322558.0,78996066.0,148862788.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,12505289.0,41348390.0,35842970.0,41133340.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),,,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,85910578.0,120974168.0,43153096.0,107729449.0
Lợi ích của cổ đông thiểu số,Minority's interest,13306213.0,8149472.0,8426450.0,6485487.0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,72604365.0,112824696.0,34726645.0,101243961.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),251.0,427.0,93.0,320.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,0.0,0.0,0.0,0.0
