item,item_en,2025,2024,2023,2022
I. Lưu chuyển tiền từ hoạt động kinh doanh, I. CASH FLOWS FROM OPERATING ACTIVITIES ,,,,
1. Lợi nhuận trước thuế,1. Profit before tax,95669936.0,89480876.0,50089190.0,223347515.0
2. Điều chỉnh cho các khoản, 2. Adjustments for: ,,,,
 Khấu hao TSCĐ và BĐSĐT,Depreciation of fixed assets and properties investment,42066344.0,38369108.0,35266406.0,34645127.0
Các khoản dự phòng,(Reversal of provisions)/provisions,691927.0,,-23962346.0,23962346.0
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",Foreign exchange (gain)/loss from revaluation of monetary items denominated in foreign currencies,110904.0,230977.0,97893.0,73729.0
"Lãi, lỗ từ hoạt động đầu tư",Loss/(profit) from investment activities,-1838687.0,515795.0,-1139857.0,-1008396.0
Chi phí lãi vay,Interest expense,1173919.0,2299179.0,3458276.0,2361357.0
"Lãi, lỗ từ thanh lý TSCĐ",Loss/(profits) from disposal of fixed asset,,,,
Thu nhập lãi vay và cổ tức,Interest income and dividends,,,,
Phân bổ lợi thế thương mại,Allocation of goodwill,,,,
Điều chỉnh cho các khoản khác,Adjustments for,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Operating profit before changes in  working capital,137874342.0,130895935.0,63809560.0,283381678.0
"Tăng, giảm các khoản phải thu",(Increase)/decrease in receivables,-7265173.0,33820798.0,-35346955.0,47514728.0
"Tăng, giảm hàng tồn kho",(Increase)/decrease in inventories,34891870.0,-9908709.0,45868637.0,-29288634.0
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","Increase/(decrease) in payables (other than interest, corporate income tax)",-44405716.0,38297830.0,-52546225.0,-23988883.0
"Tăng, giảm chi phí trả trước",(Increase)/decrease in prepaid expenses,-3354770.0,-31193018.0,38685731.0,-62326551.0
"Tăng, giảm chứng khoán kinh doanh",Changes in available for sale securities,,,,
Tiền lãi vay đã trả,Interest paid,-1173919.0,-2299179.0,-3458276.0,-2361357.0
Thuế thu nhập doanh nghiệp đã nộp,Corporate income tax paid,-10073739.0,-8385559.0,-24619248.0,-39042216.0
Tiền thu khác từ hoạt động kinh doanh,Other receipts from operating activities,346594.0,,153480.0,
Tiền chi khác cho hoạt động kinh doanh,Other payments for operating activities,-27412593.0,,-1868869.0,
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Net cash flows from operating activities,79426896.0,151228098.0,30677837.0,173888765.0
II. Lưu chuyển tiền từ hoạt động đầu tư, II. CASH FLOWS FROM INVESTING ACTIVITIES ,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","1. Payment for fixed assets, constructions and other long-term assets",-17278263.0,-40333340.0,-18418830.0,-9733356.0
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",2. Receipts from disposal of fixed assets and other long-term assets,,,,
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","3. Loans, purchases of other entities' debt instruments ",,,,
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","4. Receipts from loan repayments, sale of other entities' debt instruments ",,,,
5. Tiền chi đầu tư góp vốn vào đơn vị khác,5. Payments for investment in other entities,,,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,6. Collections on investment in other entities,,,,
