item,item_en,2025,2024,2023,2022
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,4202.84,3960.82,2080.27,10072.53
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),15032.57,14801.43,13834.0,17160.33
Chỉ số giá thị trường trên thu nhập (P/E),P/E,17.61,12.67,22.59,5.24
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,4.92,3.39,3.4,3.08
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,1.06,0.78,0.88,0.76
Tỷ suất cổ tức,Dividend yield,0.04,0.05,0.1,0.12
Beta,Beta,0.88,0.16,0.01,0.01
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,13.23,9.09,16.16,4.0
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,0.0,0.0,0.0,0.0
Tỷ suất lợi nhuận gộp biên,Gross profit margin,12.84,13.51,12.38,21.59
Tỷ lệ lãi EBIT,EBIT margin,7.71,7.92,5.54,18.01
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,11.06,11.24,9.19,20.77
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,6.03,6.15,3.87,14.46
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,28.17,27.66,13.42,62.49
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),31.56,33.3,18.15,73.73
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,12.74,13.48,7.0,30.67
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0,0.0,0.0
Tăng trưởng  doanh thu thuần,Net revenue,8.38,19.83,-22.88,23.93
Tăng trưởng  lợi nhuận gộp,Gross profit,3.02,30.78,-55.8,-3.83
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,6.92,78.64,-77.57,1.41
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,6.11,90.4,-79.35,3.83
Tăng trưởng tổng tài sản,Total assets,4.93,21.18,-19.07,-0.03
Tăng trưởng nợ dài hạn,Long-term liabilities,165.5,41.94,-14.56,17.76
Tăng trưởng nợ phải trả,Liabilities,7.79,36.59,-18.73,-11.77
Tăng trưởng vốn chủ sở hữu,Owner's equity,1.56,6.99,-19.38,13.8
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.48,0.32,0.04,0.25
Tỷ số thanh toán nhanh,Quick ratio,0.67,0.49,0.44,0.56
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.48,0.32,0.04,0.25
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,0.89,0.83,0.84,0.97
Khả năng thanh toán lãi vay,Interest coverage,82.5,39.92,15.48,95.58
