item,item_en,2025,2024,2023,2022
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,2083.39,1258.55,1064.54,6250.38
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),30899.79,30471.02,30131.96,39179.94
Chỉ số giá thị trường trên thu nhập (P/E),P/E,19.68,33.37,42.32,9.71
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,1.33,1.38,1.49,1.55
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,2.0,2.14,2.98,1.76
Tỷ suất cổ tức,Dividend yield,0.02,0.01,0.0,0.0
Beta,Beta,0.28,0.16,0.39,0.73
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,16.6,26.47,33.36,8.52
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,11.48,15.47,22.31,7.41
Tỷ suất lợi nhuận gộp biên,Gross profit margin,17.57,15.68,17.18,15.07
Tỷ lệ lãi EBIT,EBIT margin,17.26,11.6,12.24,22.82
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,24.95,19.85,18.3,26.23
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,10.47,5.12,7.24,18.7
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,6.79,4.08,3.07,17.3
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),8.65,5.68,5.19,18.91
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,4.15,2.55,2.09,11.69
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0,0.0,0.0
Tăng trưởng  doanh thu thuần,Net revenue,4.53,39.16,-34.49,-42.83
Tăng trưởng  lợi nhuận gộp,Gross profit,17.13,26.97,-25.33,0.67
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,86.48,11.12,-72.32,11.26
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,74.15,47.91,-79.27,15.8
Tăng trưởng tổng tài sản,Total assets,2.27,11.76,34.87,-2.85
Tăng trưởng nợ dài hạn,Long-term liabilities,-11.85,3.28,218.29,-6.11
Tăng trưởng nợ phải trả,Liabilities,3.66,17.95,92.87,-36.59
Tăng trưởng vốn chủ sở hữu,Owner's equity,1.41,8.2,14.97,18.84
Tăng trưởng vốn điều lệ,Charter capital,0.0,7.0,49.49,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.3,0.35,0.47,0.65
Tỷ số thanh toán nhanh,Quick ratio,1.29,1.45,1.9,2.01
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.68,0.87,1.04,1.29
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,1.3,1.46,1.92,2.03
Khả năng thanh toán lãi vay,Interest coverage,3.85,2.61,3.74,14.33
