item,item_en,2025,2024,2023,2022
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,912175204.0,1875070699.0,1411052105.0,1492618266.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,51060650.0,69585084.0,262549392.0,304377042.0
1. Tiền,1. Cash,50712837.0,69179465.0,59177907.0,293569064.0
2. Các khoản tương đương tiền,2. Cash equivalents,347812.0,405619.0,203371485.0,10807977.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,442539759.0,901836026.0,639849359.0,635024618.0
1. Chứng khoán kinh doanh,1. Available for sale securities,430118131.0,889510418.0,628610418.0,628610418.0
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,12421629.0,12325607.0,11238940.0,6414199.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,369764026.0,887601676.0,375176291.0,403561353.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,190551480.0,409604504.0,387768485.0,375785907.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,13453547.0,4751534.0,8648358.0,5369908.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,750000.0,750000.0,750000.0,750000.0
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,180449249.0,507739757.0,26904660.0,62964166.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-15440251.0,-35244120.0,-48895212.0,-41308629.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,39775182.0,10451040.0,129496031.0,140815492.0
1. Hàng tồn kho,1. Inventories,39775182.0,10451040.0,129496031.0,140815492.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,,,,
V. Tài sản ngắn hạn khác,V. Other short-term assets,9035588.0,5596874.0,3981032.0,8839762.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,8684817.0,1721529.0,2273325.0,4997792.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,313788.0,3816169.0,45319.0,2114560.0
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,36983.0,59176.0,1662388.0,1727410.0
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,923416360.0,266165168.0,277657711.0,202896224.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,500000.0,5388355.0,3567714.0,6857990.0
1. Phải thu dài hạn của khách hàng,1. Long-term trade receivables,,,,
2. Trả trước cho người bán dài hạn,2. Long-term prepayments to suppliers  ,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,3. Capital at inter-company,,,,
4.  Phải thu nội bộ dài hạn ,4. Long-term inter-company receivables,,,,
5. Phải thu về cho vay dài hạn,5. Long-term loan receivables,,,,
6. Phải thu dài hạn khác,6. Other long-term receivables,500000.0,5388355.0,3567714.0,6857990.0
7. Dự phòng phải thu dài hạn khó đòi (*),7. Provision for long-term doubtful debts,,,,
II. Tài sản cố định,II. Fixed assets,58269211.0,22336079.0,21196655.0,20582334.0
1. Tài sản cố định hữu hình,1. Tangible fixed assets,25846568.0,12617105.0,8540537.0,7729952.0
      - Nguyên giá,    - Cost,83292214.0,65937466.0,60658773.0,57449736.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-57445646.0,-53320361.0,-52118236.0,-49719784.0
2. Tài sản cố định thuê tài chính,2. Financial leased fixed assets,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
3. Tài sản cố định vô hình,3. Intangible fixed assets,32422643.0,9718973.0,12656118.0,12852382.0
      - Nguyên giá,    - Cost,73512196.0,32847988.0,29174993.0,23936663.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-41089553.0,-23129015.0,-16518875.0,-11084281.0
III. Bất động sản đầu tư,III. Investment properties,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
IV. Tài sản dở dang dài hạn,IV. Long-term assets in progress,530860.0,3052120.0,,2600799.0
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",1. Long-term production in progress,,,,
2. Chi phí xây dựng cơ bản dở dang,2. Construction in progress,530860.0,3052120.0,,2600799.0
V. Đầu tư tài chính dài hạn,V. Long-term financial investments,787003162.0,156000000.0,156000000.0,58000000.0
1. Đầu tư vào công ty con,1. Investments in subsidiaries,,,,
2. Đầu tư vào công ty liên kết. liên doanh,"2. Investments in associates, joint-ventures",787003162.0,,,
3. Đầu tư góp vốn vào đơn vị khác,3. Investments in other entities,34500000.0,190500000.0,190500000.0,92500000.0
4. Dự phòng đầu tư tài chính dài hạn (*),4. Provision for diminution in value of long-term investments,-34500000.0,-34500000.0,-34500000.0,-34500000.0
5. Đầu tư nắm giữ đến ngày đáo hạn,5. Held to maturity investments,,,,
6. Đầu tư dài hạn khác,6. Other long-term investments,,,,
VI. Tài sản dài hạn khác,VI. Other long-term assets,77113126.0,79388615.0,96893342.0,114855100.0
1. Chi phí trả trước dài hạn,1. Long-term prepayments,7655810.0,5068592.0,10117551.0,15386342.0
2. Tài sản thuế thu nhập hoãn lại,2. Deferred income tax assets,321123.0,277718.0,,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn","3. Long-term equipment, supplies, spare parts",,,,
4. Tài sản dài hạn khác,4. Other long-term assets,,,,
5. Lợi thế thương mại,5. Goodwill,69136193.0,74042305.0,86775791.0,99468758.0
VII. Lợi thế thương mại (áp dụng trước năm 2015),VII. Goodwill (before 2015),,,,
TỔNG CỘNG TÀI SẢN,TOTAL ASSETS,1835591564.0,2141235867.0,1688709816.0,1695514489.0
NGUỒN VỐN,OWNER'S EQUITY,,,,
A. NỢ PHẢI TRẢ,A.  LIABILITIES ,677129689.0,1224864708.0,768175821.0,804456317.0
I. Nợ ngắn hạn,I. Short -term liabilities,272263327.0,730495171.0,277375821.0,313656317.0
1. Phải trả người bán ngắn hạn,1.  Short-term trade accounts payable,93191444.0,94175309.0,95362323.0,114811794.0
