item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,3385881371.0,3328360286.0,3546537022.0,2862183000.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,317238237.0,150625834.0,268235566.0,234460107.0
1. Tiền,1. Cash,317238237.0,150625834.0,63235566.0,29460107.0
2. Các khoản tương đương tiền,2. Cash equivalents,,,205000000.0,205000000.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,466556930.0,466556930.0,260000000.0,260000000.0
1. Chứng khoán kinh doanh,1. Available for sale securities,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,466556930.0,466556930.0,260000000.0,260000000.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,1030293126.0,1300866850.0,1265532324.0,667819273.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,1013721284.0,1288666202.0,1233989414.0,619639353.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,2123288.0,4039701.0,7930928.0,11140587.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,,,,
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,19681099.0,27203401.0,39948496.0,41680624.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-5232546.0,-19042453.0,-16336513.0,-4641292.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,1445531410.0,1200934474.0,1557030518.0,1541506796.0
1. Hàng tồn kho,1. Inventories,1503042294.0,1224503785.0,1580493035.0,1558710614.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,-57510884.0,-23569311.0,-23462518.0,-17203818.0
V. Tài sản ngắn hạn khác,V. Other short-term assets,126261668.0,209376197.0,195738614.0,158396824.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,27469286.0,21460291.0,28386463.0,31524837.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,98792383.0,180064195.0,159500441.0,117172268.0
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,,7851711.0,7851711.0,9699719.0
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,3540736390.0,3373936011.0,3254579087.0,3289776835.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,10680826.0,10680826.0,10680826.0,10680826.0
1. Phải thu dài hạn của khách hàng,1. Long-term trade receivables,,,,
2. Trả trước cho người bán dài hạn,2. Long-term prepayments to suppliers  ,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,3. Capital at inter-company,,,,
4.  Phải thu nội bộ dài hạn ,4. Long-term inter-company receivables,,,,
5. Phải thu về cho vay dài hạn,5. Long-term loan receivables,,,,
6. Phải thu dài hạn khác,6. Other long-term receivables,10680826.0,10680826.0,10680826.0,10680826.0
7. Dự phòng phải thu dài hạn khó đòi (*),7. Provision for long-term doubtful debts,,,,
II. Tài sản cố định,II. Fixed assets,2716056425.0,2507647242.0,2422477295.0,2094594082.0
1. Tài sản cố định hữu hình,1. Tangible fixed assets,2456309126.0,2286966380.0,2220018534.0,1932355578.0
      - Nguyên giá,    - Cost,4166429586.0,3935279486.0,3808474783.0,3501940505.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-1710120461.0,-1648313106.0,-1588456249.0,-1569584926.0
2. Tài sản cố định thuê tài chính,2. Financial leased fixed assets,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
3. Tài sản cố định vô hình,3. Intangible fixed assets,259747299.0,220680862.0,202458761.0,162238504.0
      - Nguyên giá,    - Cost,308862834.0,267888109.0,247842612.0,205176072.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-49115535.0,-47207246.0,-45383851.0,-42937568.0
III. Bất động sản đầu tư,III. Investment properties,304148590.0,305857187.0,306484137.0,298548356.0
      - Nguyên giá,    - Cost,320164357.0,320164357.0,319076769.0,310085453.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-16015767.0,-14307170.0,-12592632.0,-11537097.0
IV. Tài sản dở dang dài hạn,IV. Long-term assets in progress,174485701.0,249501110.0,234069136.0,565235543.0
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",1. Long-term production in progress,,,,
2. Chi phí xây dựng cơ bản dở dang,2. Construction in progress,174485701.0,249501110.0,234069136.0,565235543.0
V. Đầu tư tài chính dài hạn,V. Long-term financial investments,140000000.0,140029400.0,140029400.0,140029400.0
1. Đầu tư vào công ty con,1. Investments in subsidiaries,,,,
2. Đầu tư vào công ty liên kết. liên doanh,"2. Investments in associates, joint-ventures",140788108.0,140817508.0,140817508.0,140817508.0
3. Đầu tư góp vốn vào đơn vị khác,3. Investments in other entities,,,,
4. Dự phòng đầu tư tài chính dài hạn (*),4. Provision for diminution in value of long-term investments,-788108.0,-788108.0,-788108.0,-788108.0
5. Đầu tư nắm giữ đến ngày đáo hạn,5. Held to maturity investments,,,,
6. Đầu tư dài hạn khác,6. Other long-term investments,,,,
VI. Tài sản dài hạn khác,VI. Other long-term assets,195364848.0,160220245.0,140838293.0,180688628.0
1. Chi phí trả trước dài hạn,1. Long-term prepayments,173099123.0,137954520.0,138968562.0,179193252.0
2. Tài sản thuế thu nhập hoãn lại,2. Deferred income tax assets,1869731.0,1869731.0,1869731.0,1495376.0
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn","3. Long-term equipment, supplies, spare parts",,,,
4. Tài sản dài hạn khác,4. Other long-term assets,20395994.0,20395994.0,,
5. Lợi thế thương mại,5. Goodwill,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015),VII. Goodwill (before 2015),,,,
TỔNG CỘNG TÀI SẢN,TOTAL ASSETS,6926617761.0,6702296296.0,6801116109.0,6151959835.0
NGUỒN VỐN,OWNER'S EQUITY,,,,
A. NỢ PHẢI TRẢ,A.  LIABILITIES ,4925351178.0,4748254193.0,4966321693.0,4265259832.0
I. Nợ ngắn hạn,I. Short -term liabilities,3818455270.0,3626704830.0,3941929551.0,2944563928.0
1. Phải trả người bán ngắn hạn,1.  Short-term trade accounts payable,862124920.0,804343415.0,761768401.0,788310662.0
2. Người mua trả tiền trước ngắn hạn,2. Short-term advances from customers,3646840.0,29870202.0,7368074.0,38465898.0
3. Thuế và các khoản phải nộp Nhà nước,3. Taxes and other payables to state authorities,65140990.0,66253120.0,50686628.0,18149355.0
4. Phải trả người lao động,4. Payable to employees,418541245.0,399614805.0,234040692.0,120299255.0
5. Chi phí phải trả ngắn hạn,5. Short-term acrrued expenses,22638982.0,20336080.0,20883412.0,14571055.0
6. Phải trả nội bộ ngắn hạn,6. Short-term inter-company payables,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,7. Construction contract progress payments due to suppliers,,,,
8. Doanh thu chưa thực hiện ngắn hạn,8. Short-term unearned revenue,7839286.0,4498758.0,2928580.0,2136244.0
9. Phải trả ngắn hạn khác,9. Other short-term payables,17536405.0,25178494.0,14979668.0,15083862.0
10. Vay và nợ thuê tài chính ngắn hạn,10. Short-term borrowings and financial leases,2371043891.0,2218261373.0,2762882632.0,1926794952.0
11. Dự phòng phải trả ngắn hạn,11. Provision for short-term liabilities,473400.0,391675.0,449675.0,429975.0
"12. Quỹ khen thưởng, phúc lợi",12.. Bonus and welfare fund,49469310.0,57956908.0,85941788.0,20322671.0
13. Quỹ bình ổn giá,13. Price stabilization fund,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,14. Government bonds,,,,
II. Nợ dài hạn ,II. Long-term liabilities,1106895908.0,1121549363.0,1024392142.0,1320695903.0
1. Phải trả người bán dài hạn,1. Long-term trade payables,,,,
2. Người mua trả tiền trước dài hạn,2. Long-term advances from customers,,,,
3. Chi phí phải trả dài hạn,3. Long-term acrrued expenses,,,,
4. Phải trả nội bộ về vốn kinh doanh,4. Inter-company payables on business capital,,,,
5. Phải trả nội bộ dài hạn,5. Long-term inter-company payables,,,,
6. Doanh thu chưa thực hiện dài hạn,6. Long-term unearned revenue,150554137.0,152423877.0,106075945.0,90848050.0
7. Phải trả dài hạn khác,7. Other long-term liabilities,,,,
8. Vay và nợ thuê tài chính dài hạn,8. Long-term borrowings and financial leases,956341771.0,969125487.0,918316198.0,1229847853.0
9. Trái phiếu chuyển đổi,9. Convertible bonds,,,,
10. Cổ phiếu ưu đãi (Nợ),10. Preferred stock (Debts),,,,
11. Thuế thu nhập hoãn lại phải trả,11. Deferred income tax liabilities,,,,
12. Dự phòng phải trả dài hạn,12. Provision for long-term liabilities,,,,
13. Quỹ phát triển khoa học và công nghệ,13. Fund for technology development,,,,
14. Dự phòng trợ cấp mất việc làm,14. Provision for severance allowances,,,,
B. VỐN CHỦ SỞ HỮU,B. OWNER'S EQUITY ,2001266583.0,1954042104.0,1834794416.0,1886700003.0
I. Vốn chủ sở hữu,I. Owner's equity,2001266583.0,1954042104.0,1834794416.0,1886700003.0
1. Vốn góp của chủ sở hữu,1. Owner's capital ,1287312660.0,1226012060.0,1226012060.0,1226012060.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Common stock with voting right,1287312660.0,1226012060.0,1226012060.0,1226012060.0
- Cổ phiếu ưu đãi,- Preferred stock,,,,
2. Thặng dư vốn cổ phần,2. Share premium,40988785.0,40988785.0,40988785.0,40988785.0
3. Quyền chọn chuyển đổi trái phiếu,3. Convertible bond option,,,,
4. Vốn khác của chủ sở hữu,4. Other capital of owners,55420.0,55420.0,55420.0,55420.0
5. Cổ phiếu quỹ (*),5. Treasury shares,,,,
6. Chênh lệch đánh giá lại tài sản,6. Assets revaluation differences,,,,
7. Chênh lệch tỷ giá hối đoái,7. Foreign exchange differences,,,,
8. Quỹ đầu tư phát triển,8. Investment and development fund,290776332.0,290776332.0,290776332.0,290776332.0
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,9. Fund to support corporate restructuring,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,10. Other funds from owner's equity,112265079.0,112265079.0,112265079.0,112265079.0
11. Lợi nhuận sau thuế chưa phân phối,11. Undistributed earnings after tax,269868307.0,283944427.0,164696739.0,216602327.0
- LNST chưa phân phối lũy kế đến cuối kỳ trước,- Accumulated retained earning at the end of the previous period,3565607.0,3565607.0,3565607.0,173283302.0
- LNST chưa phân phối kỳ này,- Undistributed earnings in this period,266302700.0,280378821.0,161131133.0,43319024.0
12. Nguồn vốn đầu tư XDCB,12. Reserves for investment in construction,,,,
13. Lợi ích cổ đông không kiểm soát,13. Minority's interest,,,,
14. Quỹ dự phòng tài chính,14. Financial reserves,,,,
II. Nguồn kinh phí và quỹ khác,II. Other resources and funds ,,,,
1. Nguồn kinh phí,1. Subsidized not-for-profit funds,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,2. Funds invested in fixed assets,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,C. MINORITY'S INTEREST,,,,
TỔNG CỘNG NGUỒN VỐN,TOTAL OWNER'S EQUITY AND LIABILITIES ,6926617761.0,6702296296.0,6801116109.0,6151959835.0
