item,item_en,2025,2024,2023,2022
I. Lưu chuyển tiền từ hoạt động kinh doanh, I. CASH FLOWS FROM OPERATING ACTIVITIES ,,,,
1. Lợi nhuận trước thuế,1. Profit before tax,,390479324.0,271065737.0,358795911.0
2. Điều chỉnh cho các khoản, 2. Adjustments for: ,,,,
 Khấu hao TSCĐ và BĐSĐT,Depreciation of fixed assets and properties investment,,235061841.0,221048756.0,194875751.0
Các khoản dự phòng,(Reversal of provisions)/provisions,,8279845.0,-11224240.0,3296110.0
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",Foreign exchange (gain)/loss from revaluation of monetary items denominated in foreign currencies,,27693536.0,-29731346.0,-23452766.0
"Lãi, lỗ từ hoạt động đầu tư",Loss/(profit) from investment activities,,3556015.0,-301981.0,-3403862.0
Chi phí lãi vay,Interest expense,,184426081.0,192417313.0,159534027.0
"Lãi, lỗ từ thanh lý TSCĐ",Loss/(profits) from disposal of fixed asset,,,,
Thu nhập lãi vay và cổ tức,Interest income and dividends,,,,
Phân bổ lợi thế thương mại,Allocation of goodwill,,,,
Điều chỉnh cho các khoản khác,Adjustments for,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Operating profit before changes in  working capital,,849496643.0,643274239.0,689645172.0
"Tăng, giảm các khoản phải thu",(Increase)/decrease in receivables,,26289851.0,-107240745.0,45269586.0
"Tăng, giảm hàng tồn kho",(Increase)/decrease in inventories,,-164543065.0,255125589.0,-123792657.0
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","Increase/(decrease) in payables (other than interest, corporate income tax)",,327399055.0,-10643345.0,40061793.0
"Tăng, giảm chi phí trả trước",(Increase)/decrease in prepaid expenses,,-22248146.0,-48504296.0,-35889640.0
"Tăng, giảm chứng khoán kinh doanh",Changes in available for sale securities,,,,
Tiền lãi vay đã trả,Interest paid,,-181617246.0,-192009811.0,-157248683.0
Thuế thu nhập doanh nghiệp đã nộp,Corporate income tax paid,,-67666325.0,-48164549.0,-63054070.0
Tiền thu khác từ hoạt động kinh doanh,Other receipts from operating activities,,,,
Tiền chi khác cho hoạt động kinh doanh,Other payments for operating activities,,-20867655.0,-11116102.0,-13445447.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Net cash flows from operating activities,,746243110.0,480720979.0,381546053.0
II. Lưu chuyển tiền từ hoạt động đầu tư, II. CASH FLOWS FROM INVESTING ACTIVITIES ,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","1. Payment for fixed assets, constructions and other long-term assets",,-254148069.0,-711823938.0,-471027902.0
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",2. Receipts from disposal of fixed assets and other long-term assets,,4097156.0,1984500.0,1130182.0
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","3. Loans, purchases of other entities' debt instruments ",,-245000000.0,-15000000.0,
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","4. Receipts from loan repayments, sale of other entities' debt instruments ",,,,
5. Tiền chi đầu tư góp vốn vào đơn vị khác,5. Payments for investment in other entities,,,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,6. Collections on investment in other entities,,400800.0,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","7. Dividends, interest and profit received",,418849.0,,2653307.0
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,8. Increase/(Decrease) in term deposit,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,9. Purchases of minority shares of subsidiaries,,,,
10. Tiền thu khác từ hoạt động đầu tư,10. Other receipts from investing activities,,,,
11. Tiền chi khác cho hoạt động đầu tư,11. Other payments for investing activities,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,Net cash flows from investing activities,,-494231263.0,-724839438.0,-467244413.0
III. Lưu chuyển tiền từ hoạt động tài chính, III. CASH FLOWS FROM FINANCING ACTIVITIES ,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",1. Receipts from equity issue and owner's capital contribution,,,83850000.0,72526070.0
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",2. Payment for share repurchases ,,,,
3. Tiền thu từ đi vay,3. Proceeds from borrowings,,6983460096.0,5842297045.0,5624423620.0
4. Tiền trả nợ gốc vay, 4. Principal repayments  ,,-6930964601.0,-5823221747.0,-4995946221.0
5. Tiền trả nợ gốc thuê tài chính,5. Repayment of financial leases,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu ","6. Dividends paid, profits distributed to owners",,-143490166.0,-87456304.0,-116206126.0
7. Tiền thu khác từ hoạt động tài chính,7. Other receipts from financing activities,,,,
8. Tiền chi khác cho hoạt động tài chính,8. Other payments for financing activities,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,Net cash flows from financing activities,,-90994671.0,15468995.0,584797342.0
Lưu chuyển tiền thuần trong kỳ,Net cash flows during the period ,,161017176.0,-228649464.0,499098983.0
Tiền và tương đương tiền đầu kỳ,Cash and cash equivalents at beginning of the period,,283312908.0,512492211.0,13512403.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Exchange difference due to re-valuation of ending balances,,232428.0,-87324.0,-119175.0
Tiền và tương đương tiền cuối kỳ,Cash and cash equivalents at end of the period,,444562512.0,283755423.0,512492211.0
