item,item_en,2025,2024,2023,2022
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,-638.33,398.71,1781.79,2776.8
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),10581.07,12824.12,17990.04,17750.41
Chỉ số giá thị trường trên thu nhập (P/E),P/E,-18.09,46.07,12.04,12.59
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,1.09,1.43,1.19,1.97
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,3.78,6.01,3.86,3.91
Tỷ suất cổ tức,Dividend yield,0.0,0.0,0.0,0.0
Beta,Beta,0.77,1.12,0.93,0.99
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,-65.21,47.36,13.1,11.95
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,108.42,28.36,10.61,0.0
Tỷ suất lợi nhuận gộp biên,Gross profit margin,5.35,27.48,41.03,45.44
Tỷ lệ lãi EBIT,EBIT margin,-8.96,15.79,33.74,39.39
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,5.39,26.37,41.66,48.42
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,-18.72,10.24,26.17,30.35
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,-5.25,2.53,10.54,16.53
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),-1.82,3.24,11.9,17.08
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,-3.49,1.94,7.9,10.49
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0,0.0,0.0
Tăng trưởng  doanh thu thuần,Net revenue,14.92,-17.24,14.85,12.3
Tăng trưởng  lợi nhuận gộp,Gross profit,-77.65,-44.57,3.71,-0.09
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,-280.47,-66.38,5.47,-1.22
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,-308.73,-67.49,-0.91,-1.51
Tăng trưởng tổng tài sản,Total assets,13.05,19.41,52.82,8.41
Tăng trưởng nợ dài hạn,Long-term liabilities,58.31,191.67,-3.26,-23.36
Tăng trưởng nợ phải trả,Liabilities,61.45,70.77,-14.0,-6.4
Tăng trưởng vốn chủ sở hữu,Owner's equity,-5.15,7.28,87.18,18.02
Tăng trưởng vốn điều lệ,Charter capital,14.99,50.39,84.82,25.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.19,0.34,0.9,0.26
Tỷ số thanh toán nhanh,Quick ratio,0.8,1.75,2.7,0.63
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.21,0.34,0.9,0.26
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,0.9,1.84,2.77,0.68
Khả năng thanh toán lãi vay,Interest coverage,-0.95,3.85,6.77,4.88
