item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,29846.52,30084.03,23271.42,19736.03
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),61568.0,77284.0,64627.0,56060.0
Chỉ số giá thị trường trên thu nhập (P/E),P/E,4.91,3.96,7.13,7.09
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,2.38,1.54,2.57,2.5
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,3.41,2.72,4.19,4.92
Tỷ suất cổ tức,Dividend yield,0.02,0.03,0.0,0.01
Beta,Beta,1.34,1.3,1.06,0.87
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,18.24,11.53,23.22,18.79
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,10.95,6.78,12.76,14.69
Tỷ suất lợi nhuận gộp biên,Gross profit margin,25.59,35.0,26.98,24.92
Tỷ lệ lãi EBIT,EBIT margin,24.54,31.95,23.77,32.42
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,29.14,41.71,29.96,41.48
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,19.57,23.94,16.93,24.32
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,12.81,14.0,10.11,12.64
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),10.56,11.78,9.59,8.03
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,3.84,3.88,2.94,3.55
ROE bình quân 4 quý gần nhất,ROE Trailling,59.09,61.46,54.87,52.45
ROA bình quân 4 quý gần nhất,ROA Trailling,13.74,13.62,12.12,11.08
Tăng trưởng  doanh thu thuần,Net revenue,1.13,61.65,28.07,73.2
Tăng trưởng  lợi nhuận gộp,Gross profit,39.48,142.35,78.63,114.97
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,51.58,207.67,108.77,434.67
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,44.36,218.11,137.83,473.72
Tăng trưởng tổng tài sản,Total assets,49.51,65.86,33.45,54.71
Tăng trưởng nợ dài hạn,Long-term liabilities,-24.27,-34.87,-59.95,13.78
Tăng trưởng nợ phải trả,Liabilities,38.02,61.01,23.26,57.84
Tăng trưởng vốn chủ sở hữu,Owner's equity,79.02,80.83,67.41,47.6
Tăng trưởng vốn điều lệ,Charter capital,45.16,45.16,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.3,0.35,0.17,0.28
Tỷ số thanh toán nhanh,Quick ratio,1.0,0.93,0.83,0.84
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.48,0.45,0.31,0.31
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,1.27,1.16,1.14,1.13
Khả năng thanh toán lãi vay,Interest coverage,12.7,12.13,9.18,10.68
