item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,722588188.0,771407848.0,873765972.0,696179520.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,259940687.0,328001121.0,406640489.0,278041791.0
1. Tiền,1. Cash,219940687.0,168001121.0,256640489.0,128041791.0
2. Các khoản tương đương tiền,2. Cash equivalents,40000000.0,160000000.0,150000000.0,150000000.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,110000000.0,110000000.0,100000000.0,40000000.0
1. Chứng khoán kinh doanh,1. Available for sale securities,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,110000000.0,110000000.0,100000000.0,40000000.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,184791564.0,170134589.0,162116803.0,170983770.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,183178881.0,172491457.0,160643156.0,173853815.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,9733275.0,4756576.0,5099178.0,5985957.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,,,,
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,43925881.0,48461274.0,52239240.0,48259369.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-52046473.0,-55574717.0,-55864772.0,-57115370.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,150699015.0,150435206.0,186608015.0,190167651.0
1. Hàng tồn kho,1. Inventories,152448384.0,152184575.0,188357384.0,196499951.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,-1749369.0,-1749369.0,-1749369.0,-6332300.0
V. Tài sản ngắn hạn khác,V. Other short-term assets,17156922.0,12836931.0,18400665.0,16986308.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,13228185.0,8431906.0,12811370.0,12055297.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,197452.0,,36138.0,
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,3731285.0,4405025.0,5553158.0,4931011.0
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,1591685020.0,1613449542.0,1636809416.0,1596608861.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,58706.0,47206.0,47206.0,57206.0
1. Phải thu dài hạn của khách hàng,1. Long-term trade receivables,,,,
2. Trả trước cho người bán dài hạn,2. Long-term prepayments to suppliers  ,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,3. Capital at inter-company,,,,
4.  Phải thu nội bộ dài hạn ,4. Long-term inter-company receivables,,,,
5. Phải thu về cho vay dài hạn,5. Long-term loan receivables,,,,
6. Phải thu dài hạn khác,6. Other long-term receivables,58706.0,47206.0,47206.0,57206.0
7. Dự phòng phải thu dài hạn khó đòi (*),7. Provision for long-term doubtful debts,,,,
II. Tài sản cố định,II. Fixed assets,1329928759.0,1382729111.0,1423657952.0,1433586960.0
1. Tài sản cố định hữu hình,1. Tangible fixed assets,1323289759.0,1376019957.0,1416878645.0,1426738262.0
      - Nguyên giá,    - Cost,6233048569.0,6227297647.0,6209175408.0,6163180488.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-4909758810.0,-4851277689.0,-4792296763.0,-4736442227.0
2. Tài sản cố định thuê tài chính,2. Financial leased fixed assets,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
3. Tài sản cố định vô hình,3. Intangible fixed assets,6639000.0,6709154.0,6779307.0,6848698.0
