item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,3261.67,97.32,-142.74,-341.66
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),13288.0,10057.0,10433.0,10363.0
Chỉ số giá thị trường trên thu nhập (P/E),P/E,11.99,406.4,-279.89,-126.44
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,2.94,3.93,3.83,4.17
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,23.58,37.15,34.26,38.3
Tỷ suất cổ tức,Dividend yield,0.0,0.0,0.0,0.0
Beta,Beta,-0.06,-0.02,0.22,0.23
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,13.53,118.03,98.86,109.34
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,9.82,30.47,29.61,68.04
Tỷ suất lợi nhuận gộp biên,Gross profit margin,69.08,50.08,56.09,55.48
Tỷ lệ lãi EBIT,EBIT margin,219.33,44.92,50.33,50.06
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,240.09,77.4,79.71,80.44
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,187.19,2.01,6.0,8.7
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,26.44,0.13,0.63,0.93
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),15.69,1.89,2.23,2.09
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,10.31,0.04,0.21,0.3
ROE bình quân 4 quý gần nhất,ROE Trailling,30.1,0.97,-1.43,-3.34
ROA bình quân 4 quý gần nhất,ROA Trailling,10.63,0.31,-0.42,-0.94
Tăng trưởng  doanh thu thuần,Net revenue,17.76,35.97,30.01,-5.59
Tăng trưởng  lợi nhuận gộp,Gross profit,24.38,76.66,57.63,-10.69
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,0.0,0.0,0.0,10.56
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,0.0,0.0,0.0,14.24
Tăng trưởng tổng tài sản,Total assets,-12.53,-20.34,-24.02,-25.35
Tăng trưởng nợ dài hạn,Long-term liabilities,-52.89,-2.79,-2.64,-35.16
Tăng trưởng nợ phải trả,Liabilities,-33.44,-27.07,-30.4,-31.44
Tăng trưởng vốn chủ sở hữu,Owner's equity,33.69,-0.32,-7.05,-8.75
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.0,0.06,0.02,0.08
Tỷ số thanh toán nhanh,Quick ratio,0.24,0.34,0.14,0.19
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.0,0.06,0.02,0.08
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,0.24,0.34,0.14,0.19
Khả năng thanh toán lãi vay,Interest coverage,10.56,1.08,1.19,1.24
