item,item_en,2025,2024,2023,2022
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,1225705476.0,1224582069.0,1567371980.0,2014424647.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,6027318.0,1292311.0,6900512.0,13145526.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,1219678158.0,1223289758.0,1560471468.0,2001279121.0
4. Giá vốn hàng bán ,4. Cost of goods sold,1022123289.0,1096895134.0,1307055793.0,1693691937.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,197554870.0,126394623.0,253415676.0,307587184.0
6.Doanh thu hoạt động tài chính ,6. Financial income,79736949.0,84219322.0,24907367.0,24729713.0
7. Chi phí tài chính ,7. Financial expenses,74671286.0,71907922.0,70585184.0,75217166.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,69329286.0,69430390.0,66458029.0,63086922.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,2079693.0,2331206.0,5826997.0,-1670156.0
9. Chi phí bán hàng ,9. Selling expenses,116704817.0,118876522.0,124491488.0,156942770.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,125043154.0,55817673.0,130496898.0,117135333.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,-37047745.0,-33656966.0,-41423531.0,-18648528.0
12. Thu nhập khác ,12. Other income,64346989.0,53148291.0,22071860.0,32143884.0
13. Chi phí khác ,13.Other expenses,12465783.0,11829532.0,92053573.0,13577446.0
14. Lợi nhuận khác,14. Other profit ,51881206.0,41318758.0,-69981713.0,18566438.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,14833461.0,7661792.0,-111405244.0,-82090.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,618118.0,1019256.0,33525045.0,2574452.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),-683381.0,-683381.0,-683381.0,-1426951.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,14898724.0,7325917.0,-144246908.0,-1229591.0
Lợi ích của cổ đông thiểu số,Minority's interest,-143383.0,1158064.0,-10611270.0,-4633394.0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,15042106.0,6167853.0,-133635638.0,3403803.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),37.0,15.0,-325.0,8.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,0.0,0.0,0.0,0.0
