item,item_en,2025,2024,2023,2022
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,36.58,15.0,-324.99,8.28
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),527.72,567.37,230.22,651.36
Chỉ số giá thị trường trên thu nhập (P/E),P/E,83.5,202.26,-12.52,463.78
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,3.24,3.12,6.26,3.71
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,1.05,1.02,1.07,0.8
Tỷ suất cổ tức,Dividend yield,0.0,0.0,0.0,0.0
Beta,Beta,0.66,1.32,1.65,1.53
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,22.23,21.56,-40.57,21.63
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,12.17,11.82,87.09,10.24
Tỷ suất lợi nhuận gộp biên,Gross profit margin,16.2,10.33,16.24,15.37
Tỷ lệ lãi EBIT,EBIT margin,6.9,6.3,-2.88,3.15
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,12.6,11.49,1.34,6.65
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,1.22,0.6,-9.24,-0.06
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,3.79,1.85,-38.18,0.77
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),4.6,4.87,-3.17,6.3
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,0.53,0.22,-4.56,0.12
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0,0.0,0.0
Tăng trưởng  doanh thu thuần,Net revenue,-0.3,-21.61,-22.03,24.53
Tăng trưởng  lợi nhuận gộp,Gross profit,56.3,-50.12,-17.61,11.9
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,93.6,-93.12,-135811.39,-104.85
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,143.88,-95.38,-4026.07,-60.75
Tăng trưởng tổng tài sản,Total assets,3.62,-2.04,-5.18,5.91
Tăng trưởng nợ dài hạn,Long-term liabilities,-0.46,34.78,-0.38,2475.75
Tăng trưởng nợ phải trả,Liabilities,4.49,-7.38,0.39,7.98
Tăng trưởng vốn chủ sở hữu,Owner's equity,-1.57,49.68,-38.29,-4.92
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.05,0.11,0.09,0.11
Tỷ số thanh toán nhanh,Quick ratio,1.13,1.07,0.89,0.84
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.15,0.13,0.14,0.14
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,1.51,1.42,1.2,1.29
Khả năng thanh toán lãi vay,Interest coverage,1.21,1.11,-0.68,1.0
