item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,2104348486.0,1150159353.0,1128353084.0,1123029690.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,928279825.0,252401984.0,196738946.0,164764379.0
1. Tiền,1. Cash,324832270.0,99762031.0,72188946.0,67964379.0
2. Các khoản tương đương tiền,2. Cash equivalents,603447554.0,152639953.0,124550000.0,96800000.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,182500000.0,37500000.0,25500000.0,36500000.0
1. Chứng khoán kinh doanh,1. Available for sale securities,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,182500000.0,37500000.0,25500000.0,36500000.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,935894484.0,683532213.0,750419940.0,789188020.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,920807217.0,650159590.0,708139591.0,743208817.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,21087376.0,8478787.0,21955025.0,15423059.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,,,,
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,45849287.0,63864900.0,60080051.0,66917941.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-51849396.0,-38971064.0,-39754727.0,-36361797.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,56063600.0,154705655.0,132862552.0,107584993.0
1. Hàng tồn kho,1. Inventories,56830929.0,154705655.0,132862552.0,107584993.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,-767330.0,,,
V. Tài sản ngắn hạn khác,V. Other short-term assets,1610578.0,22019501.0,22831646.0,24992299.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,1080796.0,5700634.0,5583312.0,6789512.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,529782.0,16318867.0,17248333.0,18003985.0
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,,,,198802.0
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,873928736.0,865067809.0,848868866.0,828341668.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,519309.0,1189927.0,2044537.0,2170297.0
1. Phải thu dài hạn của khách hàng,1. Long-term trade receivables,,,,
2. Trả trước cho người bán dài hạn,2. Long-term prepayments to suppliers  ,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,3. Capital at inter-company,,,,
4.  Phải thu nội bộ dài hạn ,4. Long-term inter-company receivables,,,,
5. Phải thu về cho vay dài hạn,5. Long-term loan receivables,,,,
6. Phải thu dài hạn khác,6. Other long-term receivables,519309.0,1189927.0,2044537.0,2170297.0
7. Dự phòng phải thu dài hạn khó đòi (*),7. Provision for long-term doubtful debts,,,,
II. Tài sản cố định,II. Fixed assets,396594406.0,403787637.0,407100309.0,416922753.0
1. Tài sản cố định hữu hình,1. Tangible fixed assets,261874484.0,269849269.0,272478752.0,280920571.0
      - Nguyên giá,    - Cost,551670728.0,551622021.0,545275950.0,543818260.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-289796244.0,-281772752.0,-272797199.0,-262897689.0
2. Tài sản cố định thuê tài chính,2. Financial leased fixed assets,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
3. Tài sản cố định vô hình,3. Intangible fixed assets,134719921.0,133938368.0,134621557.0,136002182.0
      - Nguyên giá,    - Cost,214842873.0,212489861.0,212603701.0,212603701.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-80122952.0,-78551493.0,-77982144.0,-76601519.0
III. Bất động sản đầu tư,III. Investment properties,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
IV. Tài sản dở dang dài hạn,IV. Long-term assets in progress,5246126.0,5246126.0,5077076.0,5080712.0
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",1. Long-term production in progress,,,,
2. Chi phí xây dựng cơ bản dở dang,2. Construction in progress,5246126.0,5246126.0,5077076.0,5080712.0
V. Đầu tư tài chính dài hạn,V. Long-term financial investments,450956932.0,445801306.0,429365713.0,398531657.0
1. Đầu tư vào công ty con,1. Investments in subsidiaries,,,,
2. Đầu tư vào công ty liên kết. liên doanh,"2. Investments in associates, joint-ventures",403750025.0,398564306.0,382128713.0,411678150.0
3. Đầu tư góp vốn vào đơn vị khác,3. Investments in other entities,47237001.0,47237001.0,47237001.0,47237001.0
4. Dự phòng đầu tư tài chính dài hạn (*),4. Provision for diminution in value of long-term investments,-30093.0,,,-60383493.0
5. Đầu tư nắm giữ đến ngày đáo hạn,5. Held to maturity investments,,,,
6. Đầu tư dài hạn khác,6. Other long-term investments,,,,
VI. Tài sản dài hạn khác,VI. Other long-term assets,20611964.0,9042812.0,5281231.0,5636249.0
1. Chi phí trả trước dài hạn,1. Long-term prepayments,14679350.0,7250112.0,5190522.0,5212075.0
2. Tài sản thuế thu nhập hoãn lại,2. Deferred income tax assets,5932614.0,1792701.0,90709.0,424174.0
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn","3. Long-term equipment, supplies, spare parts",,,,
4. Tài sản dài hạn khác,4. Other long-term assets,,,,
5. Lợi thế thương mại,5. Goodwill,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015),VII. Goodwill (before 2015),,,,
TỔNG CỘNG TÀI SẢN,TOTAL ASSETS,2978277223.0,2015227162.0,1977221950.0,1951371358.0
NGUỒN VỐN,OWNER'S EQUITY,,,,
A. NỢ PHẢI TRẢ,A.  LIABILITIES ,1640118019.0,726028819.0,713357311.0,627855258.0
I. Nợ ngắn hạn,I. Short -term liabilities,1615042569.0,697664604.0,685251329.0,599952595.0
1. Phải trả người bán ngắn hạn,1.  Short-term trade accounts payable,197406198.0,214176944.0,189625673.0,194455349.0
2. Người mua trả tiền trước ngắn hạn,2. Short-term advances from customers,984346947.0,91687868.0,40490792.0,20665208.0
3. Thuế và các khoản phải nộp Nhà nước,3. Taxes and other payables to state authorities,27448400.0,9549487.0,9914017.0,7769809.0
4. Phải trả người lao động,4. Payable to employees,215765704.0,68029996.0,66693552.0,73407159.0
5. Chi phí phải trả ngắn hạn,5. Short-term acrrued expenses,36699696.0,73918845.0,79067109.0,68373883.0
6. Phải trả nội bộ ngắn hạn,6. Short-term inter-company payables,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,7. Construction contract progress payments due to suppliers,,,,
