item,item_en,2025,2024,2023,2022
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,2104348486.0,1331536969.0,1609922986.0,2098129114.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,928279825.0,199941912.0,127329032.0,198299197.0
1. Tiền,1. Cash,324832270.0,77041912.0,54829032.0,89753202.0
2. Các khoản tương đương tiền,2. Cash equivalents,603447554.0,122900000.0,72500000.0,108545995.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,182500000.0,103000000.0,145000000.0,146000000.0
1. Chứng khoán kinh doanh,1. Available for sale securities,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,182500000.0,103000000.0,145000000.0,146000000.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,935894484.0,839478222.0,1241292755.0,1628470633.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,920807217.0,799975382.0,1178538447.0,1591390267.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,21087376.0,12423496.0,34514249.0,16815076.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,,,,
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,45849287.0,60632684.0,78529682.0,64971777.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-51849396.0,-33553340.0,-50289623.0,-44706488.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,56063600.0,155964470.0,72386965.0,83958011.0
1. Hàng tồn kho,1. Inventories,56830929.0,155964470.0,72386965.0,87406166.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,-767330.0,,,-3448154.0
V. Tài sản ngắn hạn khác,V. Other short-term assets,1610578.0,33152365.0,23914233.0,41401273.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,1080796.0,7273128.0,6283543.0,4550192.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,529782.0,25586204.0,17549195.0,36750340.0
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,,293032.0,81495.0,100741.0
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,873928736.0,840967129.0,851122545.0,890625561.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,519309.0,2297171.0,2073192.0,1950978.0
1. Phải thu dài hạn của khách hàng,1. Long-term trade receivables,,,,
2. Trả trước cho người bán dài hạn,2. Long-term prepayments to suppliers  ,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,3. Capital at inter-company,,,,
4.  Phải thu nội bộ dài hạn ,4. Long-term inter-company receivables,,,,
