item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
1. Thu nhập lãi và các khoản thu nhập tương tự,1. Interest income and similar income,3203645600.0,2229550000.0,2085542000.0,2057070000.0
2. Chi phí lãi và các chi phí tương tự,2. Interest expense and similar expenses,1595356460.0,1590869000.0,1543164000.0,1444535000.0
I. Thu nhập lãi thuần,I. Net interest income ,1608289140.0,638681000.0,542378000.0,612535000.0
3. Thu nhập từ hoạt động dịch vụ,3. Fee and commission income,81306938.0,33289000.0,30937000.0,46487000.0
4. Chi phí hoạt động dịch vụ,4. Fee and commission expenses,7895389.0,6772000.0,7299000.0,6455000.0
II. Lãi/lỗ thuần từ hoạt động dịch vụ,II. Net fee and commission income ,73411549.0,26517000.0,23638000.0,40032000.0
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,III. Net gain/(loss) from foreign currencies and gold trading,12764581.0,-692000.0,9540000.0,4045000.0
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,IV. Net gain/(loss) from trading securities,,,,
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,V. Net gain/(loss) from investment securities,539644.0,-5359000.0,-9124000.0,-2694000.0
5. Thu nhập từ hoạt động khác,5. Other income,82927943.0,75536000.0,38514000.0,16729000.0
6. Chi phí hoạt động khác,6. Other expenses,16615589.0,823000.0,4267000.0,4926000.0
VI. Lãi/lỗ thuần từ hoạt động khác,VI. Net other income ,66312354.0,74713000.0,34247000.0,11803000.0
"VII. Thu nhập từ góp vốn, mua cổ phần",VII. Income from capital contribution and long-term investments,18018682.0,,4896000.0,
VIII. Chi phí hoạt động,VIII. Operating expenses,292582518.0,236183000.0,239542000.0,225316000.0
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),IX. Operating profit before provision for credit losses,1486753431.0,497677000.0,366033000.0,440405000.0
X. Chi phí dự phòng rủi ro tín dụng,X. Provision for credit losses,914024792.0,161892000.0,4691000.0,87471000.0
XI. Tổng lợi nhuận trước thuế (IX-X),XI. Profit before tax ,572728639.0,335785000.0,361342000.0,352934000.0
7. Chi phí thuế TNDN hiện hành,7. Current corporate income tax expenses,110880941.0,67146000.0,78258000.0,60000000.0
8. Chi phí thuế TNDN hoãn lại,8. Deferred income tax expenses (*),,,,
XII. Chi phí thuế TNDN,XII. Corporate income tax ,110880941.0,67146000.0,78258000.0,60000000.0
XIII. Lợi nhuận sau thuế (XI-XII),XIII. Net profit after tax,461847697.0,268639000.0,283084000.0,292934000.0
XIV. Lợi ích của cổ đông thiểu số,XIV. Minority interest,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),XV. Net profit atttributable to the equity holders of the Bank ,461847697.0,268639000.0,283084000.0,292934000.0
Lãi cơ bản trên cổ phiếu (BCTC) (VNÐ),Earning per share (VND),,,,
