item,item_en,2025,2024,2023,2022
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,2414.24,4418.84,1151.88,1414.59
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),19452.74,19934.75,15753.86,14868.29
Chỉ số giá thị trường trên thu nhập (P/E),P/E,20.75,0.0,0.0,0.0
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,2.58,0.0,0.0,0.0
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,8.99,0.0,0.0,0.0
Tỷ suất cổ tức,Dividend yield,0.0,0.0,0.0,0.0
Beta,Beta,0.0,0.0,0.0,0.0
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,0.0,0.0,0.0,0.0
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,13.96,4.27,5.57,0.98
Tỷ suất lợi nhuận gộp biên,Gross profit margin,59.79,55.12,28.46,20.1
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,43.32,38.95,10.47,9.55
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,17.81,24.75,7.64,9.9
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,9.09,9.54,3.13,3.43
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0,0.0,0.0
Tăng trưởng  doanh thu thuần,Net revenue,27.75,1.45,-24.49,-11.32
Tăng trưởng  lợi nhuận gộp,Gross profit,38.56,96.52,6.9,0.48
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,41.78,278.23,-17.58,1.5
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,42.08,277.44,-17.24,1.15
Tăng trưởng tổng tài sản,Total assets,59.39,35.19,11.06,-24.69
Tăng trưởng nợ dài hạn,Long-term liabilities,0.0,-100.0,111738.1,-66.49
Tăng trưởng nợ phải trả,Liabilities,2.96,41.1,14.63,-38.27
Tăng trưởng vốn chủ sở hữu,Owner's equity,153.76,26.35,6.11,8.37
Tăng trưởng vốn điều lệ,Charter capital,166.98,0.0,-100.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.6,0.09,0.21,0.78
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.6,0.09,0.21,0.78
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,3.28,1.57,1.67,1.68
