item,item_en,2025,2024,2023,2022
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,-368.27,-103.96,-1365.38,25.77
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),7168.51,7536.78,7640.74,9006.12
Chỉ số giá thị trường trên thu nhập (P/E),P/E,-134.14,-227.01,-17.94,873.05
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,6.89,3.13,3.21,2.5
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,3284.6,1583.56,154.9,25.36
Tỷ suất cổ tức,Dividend yield,0.0,0.0,0.0,0.0
Beta,Beta,0.44,0.25,0.99,1.3
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,-159.67,-323.18,-24.25,1174.62
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,0.0,0.0,0.0,0.0
Tỷ suất lợi nhuận gộp biên,Gross profit margin,14.4,13.62,16.88,14.86
Tỷ lệ lãi EBIT,EBIT margin,-2448.65,-697.56,-863.24,3.17
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,-2448.39,-697.12,-863.05,3.26
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,-2448.65,-697.56,-863.24,2.91
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,-5.01,-1.37,-16.4,0.29
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),-2.52,-0.71,-6.42,0.1
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,-1.45,-0.43,-4.73,0.08
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0,0.0,0.0
Tăng trưởng  doanh thu thuần,Net revenue,0.92,-90.58,-82.17,136.33
Tăng trưởng  lợi nhuận gộp,Gross profit,6.74,-92.4,-79.74,196.04
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,-454.25,-107.61,-5397.98,-23.84
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,-454.25,-107.61,-5397.98,-23.84
Tăng trưởng tổng tài sản,Total assets,5.37,4.59,-30.83,5.73
Tăng trưởng nợ dài hạn,Long-term liabilities,-11.65,17.76,-66.2,-6.32
Tăng trưởng nợ phải trả,Liabilities,9.87,7.43,-36.45,7.82
Tăng trưởng vốn chủ sở hữu,Owner's equity,-4.89,-1.36,-15.16,0.29
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.0,0.0,0.01,0.06
Tỷ số thanh toán nhanh,Quick ratio,0.11,0.14,0.14,0.26
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.0,0.0,0.01,0.06
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,0.11,0.15,0.15,0.29
Khả năng thanh toán lãi vay,Interest coverage,0.0,0.0,0.0,11.97
