item,item_en,2025,2024,2023,2022
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,1101.88,1275.6,1559.82,-797.9
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),11393.86,11553.95,11515.52,9918.63
Chỉ số giá thị trường trên thu nhập (P/E),P/E,15.34,16.39,10.96,-9.19
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,1.48,1.81,1.48,0.74
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,4.41,5.14,4.65,1.87
Tỷ suất cổ tức,Dividend yield,0.0,0.0,0.0,0.0
Beta,Beta,1.84,1.84,1.92,2.15
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,0.0,0.0,0.0,0.0
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,13.88,11.27,6.65,-11.16
Tỷ suất lợi nhuận gộp biên,Gross profit margin,47.97,47.91,67.44,-4.51
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,27.08,29.49,42.76,-13.97
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,9.55,11.14,14.67,-6.17
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,3.9,4.95,6.84,-2.62
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0,0.0,0.0
Tăng trưởng  doanh thu thuần,Net revenue,5.52,27.86,-6.16,-19.49
Tăng trưởng  lợi nhuận gộp,Gross profit,5.66,-9.17,1304.85,-105.94
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,-2.49,-13.9,170.1,-128.64
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,-2.29,-11.54,201.76,-125.5
Tăng trưởng tổng tài sản,Total assets,27.0,20.25,25.01,5.48
Tăng trưởng nợ dài hạn,Long-term liabilities,-27.73,-43.21,-57.1,110.46
Tăng trưởng nợ phải trả,Liabilities,40.0,23.71,33.56,-9.05
Tăng trưởng vốn chủ sở hữu,Owner's equity,10.38,16.1,16.1,26.55
Tăng trưởng vốn điều lệ,Charter capital,11.93,15.71,0.0,99.8
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.2,0.34,0.31,0.27
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.2,0.34,0.31,0.27
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,1.39,1.72,1.74,1.98
