item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,1291242388.0,1090852694.0,1042932220.0,1048913950.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,2728255.0,1194743.0,1767002.0,2597298.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,1288514133.0,1089657951.0,1041165217.0,1046316652.0
4. Giá vốn hàng bán ,4. Cost of goods sold,1075951491.0,909486995.0,904882242.0,891804753.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,212562641.0,180170956.0,136282975.0,154511899.0
6.Doanh thu hoạt động tài chính ,6. Financial income,255281457.0,252615997.0,222878155.0,200132495.0
7. Chi phí tài chính ,7. Financial expenses,2258602.0,-1118716.0,2474192.0,2134046.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,584741.0,442227.0,327195.0,211329.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,1964794253.0,1590431551.0,1968622806.0,1100846775.0
9. Chi phí bán hàng ,9. Selling expenses,31881679.0,22122448.0,22159318.0,22447018.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,187079257.0,123399159.0,119848796.0,108830318.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,2211418812.0,1878815612.0,2183301629.0,1322079787.0
12. Thu nhập khác ,12. Other income,3788119.0,1671997.0,1449386.0,5378030.0
13. Chi phí khác ,13.Other expenses,2239948.0,1517872.0,1937741.0,2912212.0
14. Lợi nhuận khác,14. Other profit ,1548171.0,154125.0,-488354.0,2465818.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,2212966983.0,1878969737.0,2182813275.0,1324545605.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,49425935.0,59079293.0,51008342.0,47214495.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),-1003407.0,-640279.0,-655687.0,-358308.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,2164544455.0,1820530723.0,2132460619.0,1277689418.0
Lợi ích của cổ đông thiểu số,Minority's interest,12064722.0,21208835.0,18997285.0,18238666.0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,2152479732.0,1799321888.0,2113463334.0,1259450752.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),,,,948.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,,,,
