item,item_en,2025,2024,2023,2022
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,8082.18,11270.84,7086.04,6415.45
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),41108.32,38498.58,29862.13,27313.0
Chỉ số giá thị trường trên thu nhập (P/E),P/E,6.51,7.2,5.08,5.46
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,1.28,2.11,1.21,1.28
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,0.62,0.97,0.46,0.49
Tỷ suất cổ tức,Dividend yield,0.1,0.04,0.1,0.07
Beta,Beta,0.42,0.29,0.3,-0.11
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,3.71,4.78,4.47,4.82
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,0.0,0.0,0.0,0.0
Tỷ suất lợi nhuận gộp biên,Gross profit margin,24.24,25.99,23.88,23.86
Tỷ lệ lãi EBIT,EBIT margin,12.42,16.49,11.98,9.99
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,13.2,17.14,12.66,10.71
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,9.68,13.48,9.06,7.7
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,20.31,32.97,24.79,21.36
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),26.15,40.19,32.72,27.19
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,13.72,17.28,10.37,9.86
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0,0.0,0.0
Tăng trưởng  doanh thu thuần,Net revenue,0.94,7.2,9.6,43.37
Tăng trưởng  lợi nhuận gộp,Gross profit,-5.84,16.67,9.69,39.65
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,-23.85,51.85,30.61,40.14
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,-28.29,59.06,28.98,39.23
Tăng trưởng tổng tài sản,Total assets,-3.06,-15.27,6.86,45.87
Tăng trưởng nợ dài hạn,Long-term liabilities,-3.3,717.53,-13.74,-94.08
Tăng trưởng nợ phải trả,Liabilities,-20.82,-47.65,5.12,83.12
Tăng trưởng vốn chủ sở hữu,Owner's equity,6.78,28.92,9.33,13.19
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,0.0,30.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.95,0.92,0.08,0.13
Tỷ số thanh toán nhanh,Quick ratio,1.87,1.44,0.89,0.83
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",1.08,1.01,0.19,0.45
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,3.12,2.53,1.52,1.48
Khả năng thanh toán lãi vay,Interest coverage,111.63,94.48,25.81,30.88
