item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,10355172933.0,9604230739.0,9633513146.0,8912433511.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,2424918695.0,2541411314.0,2017812279.0,2317943574.0
1. Tiền,1. Cash,961938683.0,940840076.0,1309265749.0,654333501.0
2. Các khoản tương đương tiền,2. Cash equivalents,1462980011.0,1600571238.0,708546529.0,1663610073.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,2160016253.0,728000578.0,937247181.0,131784762.0
1. Chứng khoán kinh doanh,1. Available for sale securities,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,2160016253.0,728000578.0,937247181.0,131784762.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,1111760991.0,1271774697.0,1189017430.0,1121607312.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,707673417.0,932550804.0,872774822.0,821840815.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,439524643.0,250686541.0,253047687.0,255636243.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,450000.0,450000.0,450000.0,450000.0
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,270605245.0,398515372.0,369506858.0,345622856.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-306492315.0,-310428020.0,-306761938.0,-301942603.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,4016803133.0,4321261366.0,4709129125.0,4599671874.0
1. Hàng tồn kho,1. Inventories,4241209886.0,4519071695.0,4903654026.0,4724182952.0
