item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,2612404768.0,2722846105.0,2918786064.0,2256866622.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,340712.0,579351.0,535505.0,640820.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,2612064056.0,2722266754.0,2918250558.0,2256225802.0
4. Giá vốn hàng bán ,4. Cost of goods sold,2294986175.0,2453951029.0,2619412746.0,2011942890.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,317077881.0,268315726.0,298837813.0,244282912.0
6.Doanh thu hoạt động tài chính ,6. Financial income,25192553.0,38244957.0,44428966.0,24115220.0
7. Chi phí tài chính ,7. Financial expenses,13543381.0,17085380.0,29117672.0,17209660.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,464995.0,477232.0,,
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,43938272.0,29853130.0,16108216.0,25579838.0
9. Chi phí bán hàng ,9. Selling expenses,147771778.0,109806729.0,128448820.0,102484403.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,88487004.0,61336625.0,74598177.0,63213609.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,136406543.0,148185079.0,127210325.0,111070298.0
12. Thu nhập khác ,12. Other income,1525357.0,346103.0,456140.0,1335490.0
13. Chi phí khác ,13.Other expenses,211256.0,8.0,,145873.0
14. Lợi nhuận khác,14. Other profit ,1314101.0,346095.0,456140.0,1189617.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,137720644.0,148531174.0,127666465.0,112259915.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,21089295.0,24035478.0,22211078.0,17125912.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),,,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,116631349.0,124495697.0,105455387.0,95134003.0
Lợi ích của cổ đông thiểu số,Minority's interest,8173361.0,5525787.0,5369445.0,3135786.0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,108457989.0,118969910.0,100085942.0,91998218.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),2030.0,2295.0,1868.0,1789.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,,,,
