item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,9512.75,9195.2,9157.4,9164.51
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),55381.0,54156.0,51344.0,51578.0
Chỉ số giá thị trường trên thu nhập (P/E),P/E,4.52,4.76,5.11,5.07
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,0.78,0.81,0.91,0.9
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,0.73,0.71,0.71,0.91
Tỷ suất cổ tức,Dividend yield,0.06,0.07,0.06,0.09
Beta,Beta,0.78,0.82,0.89,0.57
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,7.91,9.86,13.95,12.53
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,0.0,7.29,9.83,2.58
Tỷ suất lợi nhuận gộp biên,Gross profit margin,12.14,9.86,10.24,10.83
Tỷ lệ lãi EBIT,EBIT margin,5.29,5.47,4.37,4.98
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,5.35,6.05,5.05,5.58
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,4.47,4.57,3.61,4.22
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,4.49,5.11,4.41,4.13
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),5.63,6.27,5.5,4.95
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,1.85,2.04,1.77,1.71
ROE bình quân 4 quý gần nhất,ROE Trailling,18.97,18.86,19.27,19.93
ROA bình quân 4 quý gần nhất,ROA Trailling,7.3,7.24,7.38,7.42
Tăng trưởng  doanh thu thuần,Net revenue,22.66,1.13,-5.86,23.26
Tăng trưởng  lợi nhuận gộp,Gross profit,15.07,-9.73,3.21,49.15
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,19.97,2.87,2.62,219.99
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,14.83,1.42,-0.31,221.54
Tăng trưởng tổng tài sản,Total assets,11.01,10.24,1.79,8.77
Tăng trưởng nợ dài hạn,Long-term liabilities,-18.93,32.42,32.98,33.49
Tăng trưởng nợ phải trả,Liabilities,10.23,9.8,-4.99,-12.4
Tăng trưởng vốn chủ sở hữu,Owner's equity,12.13,10.86,14.67,64.74
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.24,0.2,0.14,0.25
Tỷ số thanh toán nhanh,Quick ratio,0.93,0.89,0.76,0.8
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.27,0.28,0.21,0.32
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,1.35,1.35,1.31,1.35
Khả năng thanh toán lãi vay,Interest coverage,297.18,312.23,0.0,0.0
